piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	volta_mcs	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	annotated_key	harmony_version	annotators	reviewers	composed_start	composed_end	composed_source	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	title_text	subtitle_text	lyricist_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	typesetter	P86 (composer)	wikidata	musicbrainz	viaf	imslp	pdf	staff_1_ambitus	staff_1_instrument	staff_2_ambitus	staff_2_instrument	staff_3_ambitus	staff_3_instrument
kindertotenlieder_01_nun_will_die_sonn	1: 4/4	1: -1	85	84	337.0	85	84	337.0		1064.5	989	532	0	0	179	d	2.3.0	Amelia Brey	DK	1901	1904	https://mahlerfoundation.org/mahler/compositions/kindertotenlieder/kindertotenlieder-introduction/	Gustav Mahler	Kindertotenlieder	1	Nun will die Sonn’ so hell aufgeh’n!			Friedrich Rückert		OpenScore (CC0)	2017-06-17		Apple Macintosh	http://musescore.com/user/27638568/scores/5054519	John Bernhoff	1. Nun will die Sonn’ so hell aufgeh’n!	from <i>Kindertotenlieder</i>	Friedrich Rückert	"Gustav Mahler
"	3.6.2	2.4.1	MS3	MS3/kindertotenlieder_01_nun_will_die_sonn.mscx	False	26-87 (D1-Eb6)	https://musescore.com/user/4887176	Q7304	https://www.wikidata.org/wiki/Q589396	https://musicbrainz.org/work/57153896-db88-33d6-946f-5c96427b28bf	https://viaf.org/viaf/177009360/	https://imslp.org/wiki/Kindertotenlieder_(Mahler%2C_Gustav)	https://imslp.org/wiki/Special:ReverseLookup/21911	62-75 (D4-Eb5)	Voice	38-87 (D2-Eb6)	Grand Piano	26-74 (D1-D5)	Grand Piano
kindertotenlieder_02_nun_seh_ich_wohl	1: 4/4, 37: 3/2, 38: 4/4, 69: 2/4, 70: 4/4	1: -3, 15: 0, 22: -3, 29: 0, 41: 2, 49: -2, 61: 0, 70: -3	74	74	296.0	74	74	296.0		1209.0	785	382	0	0	96	c	2.3.0	Amelia Brey	AN	1901	1904	https://mahlerfoundation.org/mahler/compositions/kindertotenlieder/kindertotenlieder-introduction/	Gustav Mahler	Kindertotenlieder	2	Nun seh’ ich wohl, warum so dunkle Flammen			Friedrich Rückert		OpenScore (CC0)	2017-06-17		Apple Macintosh	http://musescore.com/user/27638568/scores/5051724	John Bernhoff	2. Nun seh’ ich wohl, warum so dunkle Flammen	from <i>Kindertotenlieder</i>	Friedrich Rückert	Gustav Mahler	3.6.2	2.4.1	MS3	MS3/kindertotenlieder_02_nun_seh_ich_wohl.mscx	False	24-77 (C1-F5)	https://musescore.com/user/4887176	Q7304	https://www.wikidata.org/wiki/Q589396	https://musicbrainz.org/work/3ad25002-5ae4-30d2-9896-d3d8894e0f36	https://viaf.org/viaf/177009360/	https://imslp.org/wiki/Kindertotenlieder_(Mahler%2C_Gustav)	https://imslp.org/wiki/Special:ReverseLookup/21911	57-77 (A3-F5)	Voice	53-76 (F3-E5)	Grand Piano	24-74 (C1-D5)	Grand Piano
kindertotenlieder_03_wenn_dein_mutterlein	1: 4/4, 8: 3/2, 10: 4/4, 16: 3/2, 27: 4/4, 29: 3/2, 33: 4/4, 40: 3/2, 42: 4/4, 48: 3/2, 58: 4/4, 60: 3/2, 65: 4/4	1: -3	70	70	348.0	70	70	348.0		1368.5	998	489	0	0	118	c	2.3.0	Amelia Brey	AN	1901	1904	https://mahlerfoundation.org/mahler/compositions/kindertotenlieder/kindertotenlieder-introduction/	Gustav Mahler	Kindertotenlieder	3	Wenn dein Mütterlein			Friedrich Rückert		OpenScore (CC0)	2017-06-17		Apple Macintosh	http://musescore.com/user/27638568/scores/5052787	John Bernhoff	3. Wenn dein Mütterlein	from <i>Kindertotenlieder</i>	Friedrich Rückert	Gustav Mahler	3.6.2	2.4.1	MS3	MS3/kindertotenlieder_03_wenn_dein_mutterlein.mscx	False	29-86 (F1-D6)	https://musescore.com/user/4887176	Q7304	https://www.wikidata.org/wiki/Q589396	https://musicbrainz.org/work/7eb5f71b-1910-3018-9e8a-45aab950d200	https://viaf.org/viaf/177009360/	https://imslp.org/wiki/Kindertotenlieder_(Mahler%2C_Gustav)	https://imslp.org/wiki/Special:ReverseLookup/21911	55-77 (G3-F5)	Voice	55-86 (G3-D6)	Grand Piano	29-69 (F1-A4)	Grand Piano
kindertotenlieder_04_oft_denk_ich	1: 2/2, 9: 3/2, 10: 2/2, 15: 3/2, 16: 2/2, 27: 3/2, 28: 2/2, 36: 3/2, 37: 2/2, 54: 3/2, 55: 2/2, 59: 3/2, 60: 2/2	1: -3	72	71	297.0	72	71	297.0		1156.5	909	394	0	0	53	Eb	2.3.0	Amelia Brey	AN	1901	1904	https://mahlerfoundation.org/mahler/compositions/kindertotenlieder/kindertotenlieder-introduction/	Gustav Mahler	Kindertotenlieder	4	Oft denk’ ich, sie sind nur ausgegangen			Friedrich Rückert		OpenScore (CC0)	2017-06-17		Apple Macintosh	http://musescore.com/user/27638568/scores/5062118	John Bernhoff	4. Oft denk’ ich, sie sind nur ausgegangen	from <i>Kindertotenlieder</i>	Friedrich Rückert	Gustav Mahler	3.6.2	2.4.1	MS3	MS3/kindertotenlieder_04_oft_denk_ich.mscx	False	34-86 (Bb1-D6)	https://musescore.com/user/4887176	Q7304	https://www.wikidata.org/wiki/Q589396	https://musicbrainz.org/work/2050abcb-abb0-35af-aa9b-9ee327db3355	https://viaf.org/viaf/177009360/	https://imslp.org/wiki/Kindertotenlieder_(Mahler%2C_Gustav)	https://imslp.org/wiki/Special:ReverseLookup/21911	58-78 (Bb3-Gb5)	Voice	54-86 (Gb3-D6)	Grand Piano	34-77 (Bb1-F5)	Grand Piano
kindertotenlieder_05_in_diesem_wetter	1: 4/4	1: -1, 99: 2	139	139	556.0	139	139	556.0		2395.0	1901	866	0	0	149	d	2.3.0	Amelia Brey	ST	1901	1904	https://mahlerfoundation.org/mahler/compositions/kindertotenlieder/kindertotenlieder-introduction/	Gustav Mahler	Kindertotenlieder	5	In diesem Wetter			Friedrich Rückert		OpenScore (CC0)	2017-06-17	3.02	Apple Macintosh	https://musescore.com/user/27638568/scores/5052823	John Bernhoff	5. In diesem Wetter	from <i>Kindertotenlieder</i>	Friedrich Rückert	Gustav Mahler	3.6.2	2.4.1	MS3	MS3/kindertotenlieder_05_in_diesem_wetter.mscx	False	26-93 (D1-A6)	https://musescore.com/user/4887176	Q7304	https://www.wikidata.org/wiki/Q589396	https://musicbrainz.org/work/cc00e04d-eb29-3f40-b9df-04706a5579a2	https://viaf.org/viaf/177009360/	https://imslp.org/wiki/Kindertotenlieder_(Mahler%2C_Gustav)	https://imslp.org/wiki/Special:ReverseLookup/21911	58-77 (Bb3-F5)	Voice	48-93 (C3-A6)	Grand Piano	26-80 (D1-G#5)	Grand Piano
