mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	1	0	0	4/4	3	2	1/4		1/4	1		2	38		10
1	1	0	0	4/4	3	2	1/4		1/4	1		-1	41		10
1	1	0	0	4/4	3	1	1/4		1/4	1		2	50		0
1	1	0	0	4/4	3	1	1/4		1/4	1		-1	53		0
1	1	1/4	1/4	4/4	3	2	1/4		1/4	1		0	36		11
1	1	1/4	1/4	4/4	3	2	1/4		1/4	1		4	40		11
1	1	1/4	1/4	4/4	3	1	1/16		1/16	1		0	48		1
1	1	1/4	1/4	4/4	3	1	1/16		1/16	1		4	52		1
1	1	5/16	5/16	4/4	3	1	1/16		1/16	1		3	69		2
1	1	3/8	3/8	4/4	3	1	1/16		1/16	1		2	74		3
1	1	7/16	7/16	4/4	3	1	1/16		1/16	1		2	62		4
1	1	1/2	1/2	4/4	3	2	1/4		1/4	1		-2	46		12
1	1	1/2	1/2	4/4	3	2	1/4		1/4	1		2	50		12
1	1	1/2	1/2	4/4	3	1	1/16		1/16	1		3	69		5
1	1	9/16	9/16	4/4	3	1	1/16		1/16	1		3	57		6
1	1	3/4	3/4	4/4	3	2	1/4		1/4	1		3	45		13
1	1	3/4	3/4	4/4	3	2	1/4		1/4	1		7	49		13
1	1	13/16	13/16	4/4	3	1	1/16		1/16	1		2	62		7
1	1	7/8	7/8	4/4	3	1	1/16		1/16	1		3	69		8
1	1	15/16	15/16	4/4	3	1	1/16		1/16	1		3	57		9
2	2	0	0	4/4	3	1	1/4		1/4	1		2	38		25
2	2	0	0	4/4	3	1	1/4		1/4	1		-1	41		25
2	2	0	0	4/4	2	1	1/16		1/16	1		2	50		14
2	2	0	0	4/4	2	1	1/16		1/16	1		-1	53		14
2	2	0	0	4/4	2	1	1/16		1/16	1		2	62		14
2	2	1/16	1/16	4/4	2	1	1/16		1/16	1		2	50		15
2	2	1/4	1/4	4/4	3	1	1/4		1/4	1		0	36		26
2	2	1/4	1/4	4/4	3	1	1/4		1/4	1		4	40		26
2	2	1/4	1/4	4/4	2	1	1/16		1/16	1		0	48		16
2	2	1/4	1/4	4/4	2	1	1/16		1/16	1		4	52		16
2	2	5/16	5/16	4/4	2	1	1/16		1/16	1		3	69		17
2	2	3/8	3/8	4/4	2	1	1/16		1/16	1		2	74		18
2	2	7/16	7/16	4/4	2	1	1/16		1/16	1		2	62		19
2	2	1/2	1/2	4/4	3	1	1/4		1/4	1		-2	46		27
2	2	1/2	1/2	4/4	3	1	1/4		1/4	1		2	50		27
2	2	1/2	1/2	4/4	2	1	1/16		1/16	1		3	69		20
2	2	9/16	9/16	4/4	2	1	1/16		1/16	1		3	57		21
2	2	3/4	3/4	4/4	3	1	1/4		1/4	1		3	45		28
2	2	3/4	3/4	4/4	3	1	1/4		1/4	1		7	49		28
2	2	13/16	13/16	4/4	2	1	1/16		1/16	1		2	62		22
2	2	7/8	7/8	4/4	2	1	1/16		1/16	1		3	69		23
