mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	1.0	0	0	4/4	3	2	1/4			1/4	1		2	38	D2	2	10
1	1	0	0	1.0	0	0	4/4	3	2	1/4			1/4	1		-1	41	F2	2	10
1	1	0	0	1.0	0	0	4/4	3	1	1/4			1/4	1		2	50	D3	3	0
1	1	0	0	1.0	0	0	4/4	3	1	1/4			1/4	1		-1	53	F3	3	0
1	1	1	1	1.0	1/4	1/4	4/4	3	2	1/4			1/4	1		0	36	C2	2	11
1	1	1	1	1.0	1/4	1/4	4/4	3	2	1/4			1/4	1		4	40	E2	2	11
1	1	1	1	0.25	1/4	1/4	4/4	3	1	1/16			1/16	1		0	48	C3	3	1
1	1	1	1	0.25	1/4	1/4	4/4	3	1	1/16			1/16	1		4	52	E3	3	1
1	1	5/4	5/4	0.25	5/16	5/16	4/4	3	1	1/16			1/16	1		3	69	A4	4	2
1	1	3/2	3/2	0.25	3/8	3/8	4/4	3	1	1/16			1/16	1		2	74	D5	5	3
1	1	7/4	7/4	0.25	7/16	7/16	4/4	3	1	1/16			1/16	1		2	62	D4	4	4
1	1	2	2	1.0	1/2	1/2	4/4	3	2	1/4			1/4	1		-2	46	Bb2	2	12
1	1	2	2	1.0	1/2	1/2	4/4	3	2	1/4			1/4	1		2	50	D3	3	12
1	1	2	2	0.25	1/2	1/2	4/4	3	1	1/16			1/16	1		3	69	A4	4	5
1	1	9/4	9/4	0.25	9/16	9/16	4/4	3	1	1/16			1/16	1		3	57	A3	3	6
1	1	3	3	1.0	3/4	3/4	4/4	3	2	1/4			1/4	1		3	45	A2	2	13
1	1	3	3	1.0	3/4	3/4	4/4	3	2	1/4			1/4	1		7	49	C#3	3	13
1	1	13/4	13/4	0.25	13/16	13/16	4/4	3	1	1/16			1/16	1		2	62	D4	4	7
1	1	7/2	7/2	0.25	7/8	7/8	4/4	3	1	1/16			1/16	1		3	69	A4	4	8
1	1	15/4	15/4	0.25	15/16	15/16	4/4	3	1	1/16			1/16	1		3	57	A3	3	9
2	2	4	4	1.0	0	0	4/4	3	1	1/4			1/4	1		2	38	D2	2	25
2	2	4	4	1.0	0	0	4/4	3	1	1/4			1/4	1		-1	41	F2	2	25
2	2	4	4	0.25	0	0	4/4	2	1	1/16			1/16	1		2	50	D3	3	14
2	2	4	4	0.25	0	0	4/4	2	1	1/16			1/16	1		-1	53	F3	3	14
2	2	4	4	0.25	0	0	4/4	2	1	1/16			1/16	1		2	62	D4	4	14
2	2	17/4	17/4	0.25	1/16	1/16	4/4	2	1	1/16			1/16	1		2	50	D3	3	15
2	2	5	5	1.0	1/4	1/4	4/4	3	1	1/4			1/4	1		0	36	C2	2	26
2	2	5	5	1.0	1/4	1/4	4/4	3	1	1/4			1/4	1		4	40	E2	2	26
2	2	5	5	0.25	1/4	1/4	4/4	2	1	1/16			1/16	1		0	48	C3	3	16
2	2	5	5	0.25	1/4	1/4	4/4	2	1	1/16			1/16	1		4	52	E3	3	16
2	2	21/4	21/4	0.25	5/16	5/16	4/4	2	1	1/16			1/16	1		3	69	A4	4	17
2	2	11/2	11/2	0.25	3/8	3/8	4/4	2	1	1/16			1/16	1		2	74	D5	5	18
2	2	23/4	23/4	0.25	7/16	7/16	4/4	2	1	1/16			1/16	1		2	62	D4	4	19
2	2	6	6	1.0	1/2	1/2	4/4	3	1	1/4			1/4	1		-2	46	Bb2	2	27
2	2	6	6	1.0	1/2	1/2	4/4	3	1	1/4			1/4	1		2	50	D3	3	27
2	2	6	6	0.25	1/2	1/2	4/4	2	1	1/16			1/16	1		3	69	A4	4	20
2	2	25/4	25/4	0.25	9/16	9/16	4/4	2	1	1/16			1/16	1		3	57	A3	3	21
2	2	7	7	1.0	3/4	3/4	4/4	3	1	1/4			1/4	1		3	45	A2	2	28
2	2	7	7	1.0	3/4	3/4	4/4	3	1	1/4			1/4	1		7	49	C#3	3	28
2	2	29/4	29/4	0.25	13/16	13/16	4/4	2	1	1/16			1/16	1		2	62	D4	4	22
2	2	15/2	15/2	0.25	7/8	7/8	4/4	2	1	1/16			1/16	1		3	69	A4	4	23
2	2	31/4	31/4	0.25	15/16	15/16	4/4	2	1	1/16			1/16	1		3	57	A3	3	24
3	3	8	8	1.0	0	0	4/4	3	1	1/4			1/4	1		2	50	D3	3	32
