mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	TextLine	TextLine_rit.  	crescendo_line	crescendo_hairpin	decrescendo_hairpin	Ottava:8va
3	2	7	7	2.0	1/2	1/2	Chord	2/2	3	1	1/2		1/2	1	21																		
3	2	5	5	0.5	0	0	Chord	2/2	3	2	1/8		1/8	1	22																		
3	2	11/2	11/2	0.5	1/8	1/8	Chord	2/2	3	2	1/8		1/8	1	23												3						
3	2	6	6	0.5	1/4	1/4	Chord	2/2	3	2	1/8		1/8	1	24												3						
3	2	13/2	13/2	0.5	3/8	3/8	Chord	2/2	3	2	1/8		1/8	1	25												3						
3	2	7	7	2.0	1/2	1/2	Chord	2/2	3	2	1/2		1/2	1	26																		
3	2	6	6	1.0	1/4	1/4	Chord	2/2	3	3	1/4		1/4	1	27																		
4	3	9	9	0.0	0	0	Spanner	2/2	2	1	0																						
4	3	9	9	0.0	0	0	Spanner	2/2	2	1	0																				1		
4	3	9	9	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	28												4				1		
4	3	10	10	0.0	1/4	1/4	Spanner	2/2	2	1	0																4						
4	3	10	10	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	29												4						
4	3	11	11	0.0	1/2	1/2	Spanner	2/2	2	1	0																					1	
4	3	11	11	2.0	1/2	1/2	Chord	2/2	2	1	1/2		1/2	1	30				articAccentAbove													1	
4	3	9	9	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	31																		
4	3	10	10	1.0	1/4	1/4	Chord	2/2	3	1	1/4		1/4	1	32																		
4	3	9	9	0.5	0	0	Chord	2/2	3	2	1/8		1/8	1	33				articAccentBelow								5						
4	3	19/2	19/2	1.0	1/8	1/8	Chord	2/2	3	2	1/4		1/4	1	34																		
4	3	21/2	21/2	0.5	3/8	3/8	Chord	2/2	3	2	1/8		1/8	1	35												6						
4	3	11	11	1.5	1/2	1/2	Chord	2/2	3	2	3/8		1/4	3/2	36												6						
4	3	25/2	25/2	0.5	7/8	7/8	Chord	2/2	3	2	1/8		1/8	1	37																		
5	4	13	13	0.0	0	0	Spanner	2/2	2	1	0																						
5	4	13	13	0.0	0	0	Spanner	2/2	2	1	0																				2		
5	4	13	13	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	38												7				2		
5	4	14	14	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	39												7				2		
5	4	15	15	0.0	1/2	1/2	Spanner	2/2	2	1	0																						
5	4	15	15	0.0	1/2	1/2	Spanner	2/2	2	1	0																					2	
5	4	15	15	2.0	1/2	1/2	Chord	2/2	2	1	1/2		1/2	1	40				articAccentBelow													2	
5	4	13	13	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	41																		
5	4	14	14	1.0	1/4	1/4	Chord	2/2	3	1	1/4		1/4	1	42																		
5	4	13	13	0.5	0	0	Chord	2/2	3	2	1/8		1/8	1	43												8						
5	4	27/2	27/2	1.0	1/8	1/8	Chord	2/2	3	2	1/4		1/4	1	44																		
5	4	29/2	29/2	0.5	3/8	3/8	Chord	2/2	3	2	1/8		1/8	1	45												9						
5	4	15	15	1.5	1/2	1/2	Chord	2/2	3	2	3/8		1/4	3/2	46												9						
5	4	33/2	33/2	0.5	7/8	7/8	Chord	2/2	3	2	1/8		1/8	1	47																		
6	5	20	20	0.0	3/4	3/4	StaffText	2/2	1	1	0									"Semplice, con calore
Schlicht, aber warm"													
6	5	20	20	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	48	Oft	I																
6	5	17	17	0.0	0	0	Spanner	2/2	2	1	0																						
6	5	17	17	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	49												10						
6	5	18	18	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	50												10						
6	5	19	19	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	51												10						
6	5	20	20	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	52												11						
6	5	18	18	1.0	1/4	1/4	Chord	2/2	3	1	1/4		1/4	1	53																		
6	5	19	19	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	54																		
6	5	20	20	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	55																		
6	5	17	17	0.5	0	0	Chord	2/2	3	2	1/8		1/8	1	56																		
6	5	35/2	35/2	0.5	1/8	1/8	Chord	2/2	3	2	1/8		1/8	1	57																		
6	5	18	18	0.5	1/4	1/4	Chord	2/2	3	2	1/8		1/8	1	58																		
6	5	37/2	37/2	0.5	3/8	3/8	Chord	2/2	3	2	1/8		1/8	1	59																		
6	5	19	19	0.5	1/2	1/2	Chord	2/2	3	2	1/8		1/8	1	60																		
6	5	39/2	39/2	0.5	5/8	5/8	Chord	2/2	3	2	1/8		1/8	1	61																		
6	5	20	20	0.5	3/4	3/4	Chord	2/2	3	2	1/8		1/8	1	62																		
6	5	41/2	41/2	0.5	7/8	7/8	Chord	2/2	3	2	1/8		1/8	1	63																		
7	6	21	21	2.0	0	0	Chord	2/2	1	1	1/2		1/2	1	64	denk’	think																
7	6	23	23	2.0	1/2	1/2	Chord	2/2	1	1	1/2		1/2	1	65	ich,	oft’,																
7	6	21	21	0.0	0	0	Dynamic	2/2	2	1	0							pp									11						
7	6	21	21	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	66												11						
7	6	22	22	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	67												11						
7	6	23	23	2.0	1/2	1/2	Chord	2/2	2	1	1/2		1/2	1	68												11						
7	6	21	21	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	69																		
7	6	22	22	1.0	1/4	1/4	Chord	2/2	3	1	1/4		1/4	1	70																		
7	6	23	23	2.0	1/2	1/2	Chord	2/2	3	1	1/2		1/2	1	71																		
7	6	21	21	0.5	0	0	Chord	2/2	3	2	1/8		1/8	1	72												12						
7	6	43/2	43/2	1.0	1/8	1/8	Chord	2/2	3	2	1/4		1/4	1	73																		
7	6	45/2	45/2	0.5	3/8	3/8	Chord	2/2	3	2	1/8		1/8	1	74												13						
7	6	23	23	0.5	1/2	1/2	Chord	2/2	3	2	1/8		1/8	1	75												13						
7	6	47/2	47/2	1.0	5/8	5/8	Chord	2/2	3	2	1/4		1/4	1	76																		
7	6	49/2	49/2	0.5	7/8	7/8	Chord	2/2	3	2	1/8		1/8	1	77																		
8	7	26	26	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	78	sie	they’ve																
8	7	27	27	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	79	sind	on-																
8	7	28	28	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	80	nur	-ly																
8	7	25	25	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	81												11						
8	7	26	26	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	82												11						
8	7	27	27	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	83												11						
8	7	28	28	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	84												11						
8	7	25	25	1.0	0	0	Chord	2/2	3	1	1/4		1/4	1	85																		
8	7	28	28	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	86																		
8	7	25	25	0.5	0	0	Chord	2/2	3	2	1/8		1/8	1	87				articStaccatoBelow														
8	7	51/2	51/2	0.5	1/8	1/8	Chord	2/2	3	2	1/8		1/8	1	88												14						
8	7	26	26	0.5	1/4	1/4	Chord	2/2	3	2	1/8		1/8	1	89												14						
8	7	53/2	53/2	0.5	3/8	3/8	Chord	2/2	3	2	1/8		1/8	1	90																		
8	7	27	27	0.5	1/2	1/2	Chord	2/2	3	2	1/8		1/8	1	91																		
8	7	55/2	55/2	0.5	5/8	5/8	Chord	2/2	3	2	1/8		1/8	1	92												15						
8	7	28	28	0.5	3/4	3/4	Chord	2/2	3	2	1/8		1/8	1	93												15						
8	7	57/2	57/2	0.5	7/8	7/8	Chord	2/2	3	2	1/8		1/8	1	94																		
9	8	29	29	1.0	0	0	Chord	3/2	1	1	1/4		1/4	1	95	aus-	gone																
9	8	30	30	1.0	1/4	1/4	Chord	3/2	1	1	1/4		1/4	1	96	-ge-	a																
9	8	31	31	2.0	1/2	1/2	Chord	3/2	1	1	1/2		1/2	1	97	-gan-	jour-																
9	8	33	33	1.0	1	1	Chord	3/2	1	1	1/4		1/4	1	98	-gen!	-ney.																
9	8	29	29	1.0	0	0	Chord	3/2	2	1	1/4		1/4	1	99												11						
9	8	30	30	1.0	1/4	1/4	Chord	3/2	2	1	1/4		1/4	1	100												11						
9	8	31	31	3.0	1/2	1/2	Chord	3/2	2	1	3/4		1/2	3/2	101												11						
9	8	34	34	1.0	5/4	5/4	Chord	3/2	2	1	1/4		1/4	1	102												11						
9	8	29	29	1.0	0	0	Chord	3/2	3	1	1/4		1/4	1	103																		
9	8	30	30	1.0	1/4	1/4	Chord	3/2	3	1	1/4		1/4	1	104																		
9	8	31	31	3.0	1/2	1/2	Chord	3/2	3	1	3/4		1/2	3/2	105																		
9	8	34	34	1.0	5/4	5/4	Chord	3/2	3	1	1/4		1/4	1	106																		
9	8	29	29	0.5	0	0	Chord	3/2	3	2	1/8		1/8	1	107												16						
9	8	59/2	59/2	1.0	1/8	1/8	Chord	3/2	3	2	1/4		1/4	1	108																		
9	8	61/2	61/2	0.5	3/8	3/8	Chord	3/2	3	2	1/8		1/8	1	109																		
9	8	31	31	0.5	1/2	1/2	Chord	3/2	3	2	1/8		1/8	1	110																		
9	8	63/2	63/2	1.0	5/8	5/8	Chord	3/2	3	2	1/4		1/4	1	111																		
9	8	65/2	65/2	0.5	7/8	7/8	Chord	3/2	3	2	1/8		1/8	1	112																		
9	8	33	33	0.5	1	1	Chord	3/2	3	2	1/8		1/8	1	113																		
9	8	67/2	67/2	0.5	9/8	9/8	Chord	3/2	3	2	1/8		1/8	1	114												17						
9	8	34	34	0.5	5/4	5/4	Chord	3/2	3	2	1/8		1/8	1	115												17						
9	8	69/2	69/2	0.5	11/8	11/8	Chord	3/2	3	2	1/8		1/8	1	116																		
10	9	38	38	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	117	Bald	and																
10	9	35	35	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	118												11						
10	9	36	36	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	119												11						
10	9	37	37	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	120												11						
10	9	38	38	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	121												11						
10	9	35	35	0.5	0	0	Chord	2/2	3	1	1/8		1/8	1	122																		
10	9	71/2	71/2	0.5	1/8	1/8	Chord	2/2	3	1	1/8		1/8	1	123												18						
10	9	36	36	0.5	1/4	1/4	Chord	2/2	3	1	1/8		1/8	1	124												18						
10	9	73/2	73/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8		1/8	1	125												18						
10	9	37	37	0.5	1/2	1/2	Chord	2/2	3	1	1/8		1/8	1	126												18						
10	9	75/2	75/2	0.5	5/8	5/8	Chord	2/2	3	1	1/8		1/8	1	127												18						
10	9	38	38	0.5	3/4	3/4	Chord	2/2	3	1	1/8		1/8	1	128												18						
10	9	77/2	77/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8		1/8	1	129												18						
11	10	39	39	2.0	0	0	Chord	2/2	1	1	1/2		1/2	1	130	wer-	soon																
11	10	41	41	0.0	1/2	1/2	Dynamic	2/2	1	1	0							pp															
11	10	41	41	0.0	1/2	1/2	Spanner	2/2	1	1	0																				3		
11	10	41	41	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	131	-den	I														3		
11	10	42	42	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	132	sie	shall														3		
11	10	39	39	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	133												11						
11	10	40	40	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	134												11						
11	10	41	41	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	135												11						
11	10	42	42	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	136												11						
11	10	39	39	0.5	0	0	Chord	2/2	3	1	1/8		1/8	1	137												18						
11	10	79/2	79/2	0.5	1/8	1/8	Chord	2/2	3	1	1/8		1/8	1	138												18						
11	10	40	40	0.5	1/4	1/4	Chord	2/2	3	1	1/8		1/8	1	139												18						
11	10	81/2	81/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8		1/8	1	140												18						
11	10	41	41	0.5	1/2	1/2	Chord	2/2	3	1	1/8		1/8	1	141												18						
11	10	83/2	83/2	1.0	5/8	5/8	Chord	2/2	3	1	1/4		1/4	1	142																		
11	10	85/2	85/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8		1/8	1	143																		
12	11	43	43	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	144	wie-	see										19				3		
12	11	44	44	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	145																3		
12	11	45	45	0.0	1/2	1/2	Spanner	2/2	1	1	0																						
12	11	45	45	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	146	-der	them																
12	11	46	46	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	147	nach	all																
12	11	43	43	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	148												11						
12	11	44	44	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	149												11						
12	11	45	45	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	150												11						
12	11	46	46	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	151												11						
12	11	43	43	0.5	0	0	Chord	2/2	3	1	1/8		1/8	1	152																		
12	11	87/2	87/2	0.5	1/8	1/8	Chord	2/2	3	1	1/8		1/8	1	153												20						
12	11	44	44	0.5	1/4	1/4	Chord	2/2	3	1	1/8		1/8	1	154												20						
12	11	89/2	89/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8		1/8	1	155												20						
12	11	45	45	2.0	1/2	1/2	Chord	2/2	3	1	1/2		1/2	1	156																		
13	12	47	47	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	157	Hau-	home-										21						
13	12	48	48	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	158																		
13	12	49	49	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	159	-se	-ward																
13	12	50	50	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	160	ge-	re-																
13	12	47	47	2.0	0	0	Chord	2/2	2	1	1/2		1/2	1	161												11						
13	12	49	49	2.0	1/2	1/2	Chord	2/2	2	1	1/2		1/2	1	162																		
13	12	47	47	4.0	0	0	Chord	2/2	2	2	1		1	1	163																		
13	12	47	47	2.0	0	0	Chord	2/2	3	1	1/2		1/2	1	164												22						
13	12	49	49	1.0	1/2	1/2	Chord	2/2	3	1	1/4		1/4	1	165												22						
13	12	50	50	1.0	3/4	3/4	Chord	2/2	3	1	1/4		1/4	1	166																		
13	12	47	47	4.0	0	0	Chord	2/2	3	2	1		1	1	167																		
14	13	51	51	0.0	0	0	Spanner	2/2	1	1	0																					3	
14	13	51	51	2.0	0	0	Chord	2/2	1	1	1/2		1/2	1	168	-lan-	-turn-															3	
14	13	53	53	0.0	1/2	1/2	Dynamic	2/2	1	1	0							pp															
14	13	53	53	0.0	1/2	1/2	Spanner	2/2	1	1	0																						
14	13	53	53	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	169	-gen!	-ing!																
14	13	51	51	0.0	0	0	Spanner	2/2	2	1	0																				4		
14	13	51	51	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	170												23				4		
14	13	52	52	0.0	1/4	1/4	Spanner	2/2	2	1	0																23						
14	13	52	52	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	171												23						
14	13	53	53	2.0	1/2	1/2	Chord	2/2	2	1	1/2		1/2	1	172																		
14	13	51	51	0.5	0	0	Chord	2/2	3	1	1/8		1/8	1	173												24						
14	13	103/2	103/2	1.0	1/8	1/8	Chord	2/2	3	1	1/4		1/4	1	174																		
14	13	105/2	105/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8		1/8	1	175												25						
14	13	53	53	0.5	1/2	1/2	Chord	2/2	3	1	1/8		1/8	1	176				articAccentAbove								25						
14	13	107/2	107/2	1.0	5/8	5/8	Chord	2/2	3	1	1/4		1/4	1	177																		
14	13	109/2	109/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8		1/8	1	178												26						
15	14	60	60	0.0	5/4	5/4	StaffText	3/2	1	1	0									zart													
15	14	60	60	0.0	5/4	5/4	StaffText	3/2	1	1	0									dolce													
15	14	60	60	1.0	5/4	5/4	Chord	3/2	1	1	1/4		1/4	1	179	Der	The																
15	14	55	55	1.0	0	0	Chord	3/2	2	1	1/4		1/4	1	180																		
15	14	56	56	1.0	1/4	1/4	Chord	3/2	2	1	1/4		1/4	1	181																		
15	14	57	57	0.0	1/2	1/2	Dynamic	3/2	2	1	0							pp															
15	14	57	57	4.0	1/2	1/2	Chord	3/2	2	1	1		1	1	182				articAccentAbove														
15	14	55	55	0.5	0	0	Chord	3/2	3	1	1/8		1/8	1	183												26						
15	14	111/2	111/2	1.0	1/8	1/8	Chord	3/2	3	1	1/4		1/4	1	184																		
15	14	113/2	113/2	0.5	3/8	3/8	Chord	3/2	3	1	1/8		1/8	1	185												27						
15	14	57	57	1.0	1/2	1/2	Chord	3/2	3	1	1/4		1/4	1	186																		
15	14	58	58	0.5	3/4	3/4	Chord	3/2	3	1	1/8		1/8	1	187												28						
15	14	117/2	117/2	0.5	7/8	7/8	Chord	3/2	3	1	1/8		1/8	1	188												28						
15	14	59	59	0.5	1	1	Chord	3/2	3	1	1/8		1/8	1	189												28						
15	14	119/2	119/2	0.5	9/8	9/8	Chord	3/2	3	1	1/8		1/8	1	190												28						
15	14	60	60	0.5	5/4	5/4	Chord	3/2	3	1	1/8		1/8	1	191												28						
15	14	121/2	121/2	0.5	11/8	11/8	Chord	3/2	3	1	1/8		1/8	1	192																		
16	15	61	61	0.0	0	0	Dynamic	2/2	1	1	0							pp															
16	15	61	61	2.0	0	0	Chord	2/2	1	1	1/2		1/2	1	193	Tag	day										29						
16	15	63	63	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	194																		
16	15	64	64	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	195	ist	is																
16	15	61	61	2.0	0	0	Chord	2/2	2	1	1/2		1/2	1	196												30						
16	15	63	63	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	197												30						
16	15	64	64	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	198												30						
16	15	61	61	0.0	0	0	Dynamic	2/2	3	1	0							pp															
16	15	61	61	4.0	0	0	Chord	2/2	3	1	1		1	1	199																		
17	16	65	65	2.0	0	0	Chord	2/2	1	1	1/2		1/2	1	200	schön!	bright!										31						
17	16	67	67	2.0	1/2	1/2	Chord	2/2	1	1	1/2		1/2	1	201																		
17	16	65	65	2.0	0	0	Chord	2/2	2	1	1/2		1/2	1	202												30						
17	16	67	67	2.0	1/2	1/2	Chord	2/2	2	1	1/2		1/2	1	203																		
17	16	65	65	4.0	0	0	Chord	2/2	3	1	1		1	1	204																		
18	17	69	69	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	205	O,	O,										32						
18	17	70	70	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	206																		
18	17	71	71	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	207	sei	ne’er																
18	17	72	72	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	208	nicht	dis-																
18	17	69	69	4.0	0	0	Chord	2/2	2	1	1		1	1	209												33						
18	17	69	69	2.0	0	0	Chord	2/2	2	2	1/2		1/2	1	210												34						
18	17	71	71	1.0	1/2	1/2	Chord	2/2	2	2	1/4		1/4	1	211												34						
18	17	72	72	1.0	3/4	3/4	Chord	2/2	2	2	1/4		1/4	1	212												34						
18	17	69	69	4.0	0	0	Chord	2/2	3	1	1		1	1	213																		
19	18	73	73	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	214	bang!	-may!										35						
19	18	74	74	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	215												35						
19	18	75	75	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	216																		
19	18	76	76	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	217	Sie	They																
19	18	73	73	4.0	0	0	Chord	2/2	2	1	1		1	1	218																		
19	18	73	73	2.0	0	0	Chord	2/2	2	2	1/2		1/2	1	219												34						
19	18	75	75	1.0	1/2	1/2	Chord	2/2	2	2	1/4		1/4	1	220												34						
19	18	76	76	1.0	3/4	3/4	Chord	2/2	2	2	1/4		1/4	1	221																		
19	18	73	73	4.0	0	0	Chord	2/2	3	1	1		1	1	222																		
20	19	77	77	0.0	0	0	StaffText	2/2	1	1	0									warm													
20	19	77	77	0.0	0	0	StaffText	2/2	1	1	0									caloroso													
20	19	77	77	2.0	0	0	Chord	2/2	1	1	1/2		1/2	1	223	ma-	on-																
20	19	79	79	0.0	1/2	1/2	Spanner	2/2	1	1	0																				5		
20	19	79	79	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	224	-chen	-ly														5		
20	19	80	80	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	225	nur	have														5		
20	19	77	77	2.0	0	0	Chord	2/2	2	1	1/2		1/2	1	226												36						
20	19	79	79	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	227												36						
20	19	80	80	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	228												36						
20	19	77	77	0.0	0	0	Dynamic	2/2	3	1	0							p															
20	19	77	77	0.5	0	0	Chord	2/2	3	1	1/8		1/8	1	229												37						
20	19	155/2	155/2	1.0	1/8	1/8	Chord	2/2	3	1	1/4		1/4	1	230																		
20	19	157/2	157/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8		1/8	1	231												38						
20	19	79	79	0.0	1/2	1/2	StaffText	2/2	3	1	0									espr.							38						
20	19	79	79	0.5	1/2	1/2	Chord	2/2	3	1	1/8		1/8	1	232												38						
20	19	159/2	159/2	1.0	5/8	5/8	Chord	2/2	3	1	1/4		1/4	1	233																		
20	19	161/2	161/2	0.5	7/8	7/8	Chord	2/2	3	1	1/8		1/8	1	234																		
21	20	81	81	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	235	ei-	gone														5		
21	20	82	82	0.0	1/4	1/4	Spanner	2/2	1	1	0																						
21	20	82	82	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	236	-nen	a																
21	20	83	83	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	237	wei-	long,		articAccentAbove														
21	20	84	84	1.0	3/4	3/4	Chord	2/2	1	1	1/4		1/4	1	238	-ten	long																
21	20	81	81	1.0	0	0	Chord	2/2	2	1	1/4		1/4	1	239												36						
21	20	82	82	1.0	1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	240												36						
21	20	83	83	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	241												36						
21	20	84	84	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	242																		
21	20	81	81	0.5	0	0	Chord	2/2	3	1	1/8		1/8	1	243																		
21	20	163/2	163/2	0.5	1/8	1/8	Chord	2/2	3	1	1/8		1/8	1	244												39						
21	20	82	82	0.5	1/4	1/4	Chord	2/2	3	1	1/8		1/8	1	245												39						
21	20	165/2	165/2	0.5	3/8	3/8	Chord	2/2	3	1	1/8		1/8	1	246												39						
21	20	83	83	2.0	1/2	1/2	Chord	2/2	3	1	1/2		1/2	1	247																		
22	21	85	85	1.0	0	0	Chord	2/2	1	1	1/4		1/4	1	248	Gang!	way!										40						
22	21	86	86	1.0	1/4	1/4	Chord	2/2	1	1	1/4		1/4	1	249												40						
22	21	87	87	1.0	1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	250																		
22	21	85	85	0.0	0	0	StaffText	2/2	2	1	0									(den Gesang fortsetzend)													
22	21	85	85	0.0	0	0	StaffText	2/2	2	1	0									(continuare il canto)													
22	21	85	85	3.0	0	0	Chord	2/2	2	1	3/4		1/2	3/2	251												41						
