mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line	crescendo_hairpin	diminuendo_line	decrescendo_hairpin
1	1	0	0	0.0	0	0	SystemText	4/4	1	1	0									Schwer, dumpf										
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0										𝅘𝅥=52	52.0	𝅘𝅥	52.0	0.0					
1	1	0	0	0.0	0	0	StaffText	4/4	1	1	0								Grave, malincolico											
1	1	0	0	0.0	0	0	StaffText	4/4	2	1	0								ausdrucksvoll											
1	1	0	0	0.0	0	0	StaffText	4/4	2	1	0								espressivo											
1	1	0	0	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	0												0				
1	1	1/2	1/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	1																
1	1	1	1	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	2												1				
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	3																
1	1	2	2	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	4																
1	1	0	0	0.0	0	0	Dynamic	4/4	3	1	0						pp													
1	1	0	0	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	5																
1	1	5/2	5/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	6												2				
1	1	3	3	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	7												2				
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	8												2				
1	1	0	0	0.0	0	0	StaffText	4/4	3	2	0								quasi pizz.											
1	1	0	0	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	9				articStaccatoBelow												
1	1	1	1	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	10				articStaccatoBelow												
1	1	3	3	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	11				articStaccatoBelow												
2	2	4	4	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	12												3				
2	2	9/2	9/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	13																
2	2	5	5	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	14												4				
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	15																
2	2	6	6	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	16																
2	2	4	4	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	17																
2	2	6	6	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	18																
2	2	13/2	13/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	19												5				
2	2	7	7	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	20												5				
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	21												5				
2	2	4	4	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	22				articStaccatoBelow												
2	2	5	5	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	23				articStaccatoBelow												
