mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line	crescendo_hairpin	diminuendo_line	decrescendo_hairpin
2	2	7	7	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	24				articStaccatoBelow												
3	3	8	8	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	25												6				
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	26												6				
3	3	9	9	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	27												6				
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	28												6				
3	3	10	10	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	29												6				
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	30												6				
3	3	11	11	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	31												6				
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	32																
3	3	8	8	4.0	0	0	Chord	4/4	3	1	1	1	1	33																
3	3	8	8	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	34																
3	3	9	9	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	35																
3	3	10	10	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	36																
3	3	11	11	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	37																
4	4	12	12	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	38												7				
4	4	14	14	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	39												7				
4	4	29/2	29/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	40												7				
4	4	15	15	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	41												7				
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	42																
4	4	12	12	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	43												8				
4	4	14	14	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	44												8				
4	4	12	12	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	45																
4	4	13	13	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	46																
4	4	14	14	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	47																
4	4	15	15	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	48																
5	5	16	16	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	49												9				
5	5	33/2	33/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	50												9				
5	5	17	17	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	51												9				
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	52																
5	5	18	18	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	53												10				
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	54												10				
5	5	19	19	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	55												10				
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	56																
5	5	16	16	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	57												8				
5	5	18	18	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	58																
5	5	16	16	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	59																
5	5	17	17	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	60																
5	5	18	18	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	61																
5	5	19	19	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	62																
6	6	20	20	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	63												11				
6	6	22	22	0.0	1/2	1/2	Dynamic	4/4	2	1	0						pp									11				
6	6	22	22	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	64												11				
6	6	45/2	45/2	0.0	5/8	5/8	Spanner	4/4	2	1	0															11		0		
6	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	65												11		0		
6	6	23	23	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	66												11		0		
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	67														0		
6	6	20	20	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	68												12		0		
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	69												12		0		
6	6	21	21	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	70												12		0		
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	71														0		
6	6	22	22	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	72												13		0		
6	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	73												13		0		
6	6	23	23	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	74												13		0		
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	75														0		
6	6	20	20	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	76												14				
6	6	22	22	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	77																
7	7	24	24	0.0	0	0	Dynamic	4/4	2	1	0						p													
7	7	24	24	0.0	0	0	Spanner	4/4	2	1	0																			
7	7	24	24	0.0	0	0	Spanner	4/4	2	1	0																			0
7	7	24	24	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	78												15				0
7	7	26	26	0.0	1/2	1/2	Spanner	4/4	2	1	0															15				
7	7	26	26	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	79												15				
7	7	53/2	53/2	0.0	5/8	5/8	Dynamic	4/4	2	1	0						pp									15				
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	80												15				
7	7	27	27	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	81												15				
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	82																
7	7	24	24	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	83																
7	7	26	26	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	84												16				
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	85												16				
7	7	27	27	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	86												16				
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	87																
7	7	24	24	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	88												17				
7	7	49/2	49/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	89												17				
7	7	25	25	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	90												17				
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	91																
7	7	26	26	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	92																
7	7	24	24	2.0	0	0	Chord	4/4	3	2	1/2	1/2	1	93																
7	7	26	26	2.0	1/2	1/2	Chord	4/4	3	2	1/2	1/2	1	94																
8	8	28	28	0.0	0	0	Dynamic	3/2	1	1	0						pp													
8	8	28	28	1.0	0	0	Chord	3/2	1	1	1/4	1/4	1	95	Wenn	When														
8	8	29	29	1.0	1/4	1/4	Chord	3/2	1	1	1/4	1/4	1	96	dein	thy														
8	8	30	30	1.0	1/2	1/2	Chord	3/2	1	1	1/4	1/4	1	97	Müt-	mo-														
8	8	31	31	1.0	3/4	3/4	Chord	3/2	1	1	1/4	1/4	1	98	-ter-	-ther														
8	8	32	32	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	99	-lein	dear														
8	8	28	28	0.5	0	0	Chord	3/2	2	1	1/8	1/8	1	100												18				
8	8	57/2	57/2	0.5	1/8	1/8	Chord	3/2	2	1	1/8	1/8	1	101																
8	8	29	29	0.5	1/4	1/4	Chord	3/2	2	1	1/8	1/8	1	102												19				
8	8	59/2	59/2	0.5	3/8	3/8	Chord	3/2	2	1	1/8	1/8	1	103																
8	8	30	30	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	104												20				
8	8	32	32	0.5	1	1	Chord	3/2	2	1	1/8	1/8	1	105												20				
8	8	65/2	65/2	0.5	9/8	9/8	Chord	3/2	2	1	1/8	1/8	1	106												20				
8	8	33	33	0.5	5/4	5/4	Chord	3/2	2	1	1/8	1/8	1	107												20				
8	8	67/2	67/2	0.5	11/8	11/8	Chord	3/2	2	1	1/8	1/8	1	108																
8	8	28	28	0.0	0	0	StaffText	3/2	2	2	0								fliessender											
8	8	28	28	6.0	0	0	Chord	3/2	2	2	3/2	1	3/2	109																
8	8	28	28	0.0	0	0	StaffText	3/2	3	1	0								più scorrevole											
8	8	28	28	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	110																
8	8	30	30	0.5	1/2	1/2	Chord	3/2	3	1	1/8	1/8	1	111																
8	8	61/2	61/2	0.5	5/8	5/8	Chord	3/2	3	1	1/8	1/8	1	112												21				
8	8	31	31	0.5	3/4	3/4	Chord	3/2	3	1	1/8	1/8	1	113												21				
8	8	63/2	63/2	0.5	7/8	7/8	Chord	3/2	3	1	1/8	1/8	1	114												21				
8	8	32	32	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	115																
8	8	28	28	1.0	0	0	Chord	3/2	3	2	1/4	1/4	1	116																
8	8	29	29	1.0	1/4	1/4	Chord	3/2	3	2	1/4	1/4	1	117																
8	8	33	33	1.0	5/4	5/4	Chord	3/2	3	2	1/4	1/4	1	118																
9	9	34	34	1.0	0	0	Chord	3/2	1	1	1/4	1/4	1	119	tritt	oft-														
9	9	35	35	1.0	1/4	1/4	Chord	3/2	1	1	1/4	1/4	1	120	zur	-times														
9	9	36	36	1.0	1/2	1/2	Chord	3/2	1	1	1/4	1/4	1	121	Tür	en-														
9	9	37	37	1.0	3/4	3/4	Chord	3/2	1	1	1/4	1/4	1	122	her-	-ters														
9	9	38	38	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	123	-ein,	here,														
9	9	34	34	0.5	0	0	Chord	3/2	2	1	1/8	1/8	1	124												22				
9	9	69/2	69/2	0.5	1/8	1/8	Chord	3/2	2	1	1/8	1/8	1	125																
9	9	35	35	0.5	1/4	1/4	Chord	3/2	2	1	1/8	1/8	1	126												23				
9	9	71/2	71/2	0.5	3/8	3/8	Chord	3/2	2	1	1/8	1/8	1	127																
9	9	36	36	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	128												24				
9	9	38	38	0.5	1	1	Chord	3/2	2	1	1/8	1/8	1	129												24				
9	9	77/2	77/2	0.5	9/8	9/8	Chord	3/2	2	1	1/8	1/8	1	130												24				
9	9	39	39	0.5	5/4	5/4	Chord	3/2	2	1	1/8	1/8	1	131												24				
9	9	79/2	79/2	0.5	11/8	11/8	Chord	3/2	2	1	1/8	1/8	1	132																
9	9	34	34	6.0	0	0	Chord	3/2	2	2	3/2	1	3/2	133																
9	9	34	34	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	134																
9	9	36	36	0.5	1/2	1/2	Chord	3/2	3	1	1/8	1/8	1	135																
9	9	73/2	73/2	0.5	5/8	5/8	Chord	3/2	3	1	1/8	1/8	1	136												25				
9	9	37	37	0.5	3/4	3/4	Chord	3/2	3	1	1/8	1/8	1	137												25				
9	9	75/2	75/2	0.5	7/8	7/8	Chord	3/2	3	1	1/8	1/8	1	138												25				
9	9	38	38	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	139																
9	9	34	34	1.0	0	0	Chord	3/2	3	2	1/4	1/4	1	140																
9	9	35	35	1.0	1/4	1/4	Chord	3/2	3	2	1/4	1/4	1	141																
9	9	39	39	1.0	5/4	5/4	Chord	3/2	3	2	1/4	1/4	1	142																
10	10	40	40	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	143												26				
10	10	81/2	81/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	144												26				
10	10	41	41	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	145												26				
10	10	83/2	83/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	146												26				
10	10	42	42	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	147												26				
10	10	85/2	85/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	148												26				
10	10	43	43	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	149												26				
10	10	87/2	87/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	150																
10	10	42	42	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	151																
10	10	40	40	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	152																
10	10	41	41	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	153																
10	10	42	42	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	154																
10	10	43	43	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	155																
11	11	44	44	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	156												27				
11	11	46	46	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	157												27				
11	11	93/2	93/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	158												27				
11	11	47	47	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	159												27				
11	11	95/2	95/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	160																
11	11	44	44	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	161												28				
11	11	46	46	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	162																
11	11	44	44	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	163																
11	11	45	45	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	164																
11	11	46	46	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	165																
11	11	47	47	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	166																
12	12	48	48	0.0	0	0	Dynamic	4/4	1	1	0						mp													
12	12	48	48	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	167	und	and														
12	12	49	49	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	168	den	I														
12	12	50	50	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	169	Kopf	turn														
12	12	51	51	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	170	ich	to														
12	12	48	48	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	171												29				
12	12	97/2	97/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	172												29				
12	12	49	49	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	173												29				
12	12	99/2	99/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	174												29				
12	12	50	50	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	175												29				
12	12	101/2	101/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	176												29				
12	12	51	51	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	177												29				
12	12	103/2	103/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	178																
12	12	48	48	4.0	0	0	Chord	4/4	2	2	1	1	1	179																
12	12	48	48	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	180																
12	12	49	49	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	181																
12	12	50	50	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	182																
12	12	51	51	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	183																
13	13	52	52	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	184	dre-	greet														
13	13	54	54	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	185	-he,	her,														
13	13	52	52	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	186												30				
13	13	54	54	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	187												30				
13	13	109/2	109/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	188												30				
13	13	55	55	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	189												30				
13	13	111/2	111/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	190																
13	13	52	52	4.0	0	0	Chord	4/4	2	2	1	1	1	191																
13	13	52	52	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	192																
13	13	53	53	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	193																
13	13	54	54	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	194																
13	13	55	55	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	195																
14	14	56	56	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	196	ihr	or														
14	14	57	57	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	197	ent-	I														
14	14	58	58	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	198	-ge-	haste														
14	14	59	59	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	199	-gen	to														
14	14	56	56	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	200												31				
14	14	113/2	113/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	201												31				
14	14	57	57	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	202												31				
14	14	115/2	115/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	203												31				
14	14	58	58	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	204												31				
14	14	117/2	117/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	205												31				
14	14	59	59	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	206												31				
14	14	119/2	119/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	207																
14	14	56	56	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	208																
14	14	58	58	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	209																
14	14	56	56	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	210																
14	14	57	57	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	211																
14	14	58	58	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	212																
14	14	59	59	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	213																
15	15	60	60	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	214	se-	meet														
15	15	62	62	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	215	-he,	her,														
15	15	60	60	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	216												32				
15	15	121/2	121/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	217												32				
15	15	61	61	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	218												32				
15	15	123/2	123/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	219																
15	15	62	62	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	220												33				
15	15	125/2	125/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	221												33				
15	15	63	63	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	222												33				
15	15	127/2	127/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	223																
15	15	60	60	4.0	0	0	Chord	4/4	2	2	1	1	1	224																
15	15	60	60	4.0	0	0	Chord	4/4	3	1	1	1	1	225																
16	16	64	64	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	226																
16	16	66	66	0.0	1/2	1/2	Spanner	3/2	2	1	0																0			
16	16	66	66	0.5	1/2	1/2	Chord	3/2	2	1	1/8	1/8	1	227												34	0			
16	16	133/2	133/2	0.5	5/8	5/8	Chord	3/2	2	1	1/8	1/8	1	228												34	0			
16	16	67	67	0.5	3/4	3/4	Chord	3/2	2	1	1/8	1/8	1	229												34	0			
16	16	135/2	135/2	0.5	7/8	7/8	Chord	3/2	2	1	1/8	1/8	1	230												34	0			
16	16	68	68	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	231													0			
16	16	139/2	139/2	0.0	11/8	11/8	Spanner	3/2	2	1	0																			
16	16	64	64	0.5	0	0	Chord	3/2	2	2	1/8	1/8	1	232												35				
16	16	129/2	129/2	0.5	1/8	1/8	Chord	3/2	2	2	1/8	1/8	1	233												35				
16	16	65	65	0.5	1/4	1/4	Chord	3/2	2	2	1/8	1/8	1	234												35				
16	16	131/2	131/2	0.5	3/8	3/8	Chord	3/2	2	2	1/8	1/8	1	235																
16	16	66	66	0.5	1/2	1/2	Chord	3/2	2	2	1/8	1/8	1	236												36				
16	16	133/2	133/2	0.5	5/8	5/8	Chord	3/2	2	2	1/8	1/8	1	237												36				
16	16	67	67	0.0	3/4	3/4	StaffText	3/2	2	2	0								l.H							36				
16	16	67	67	0.5	3/4	3/4	Chord	3/2	2	2	1/8	1/8	1	238												36				
16	16	135/2	135/2	0.5	7/8	7/8	Chord	3/2	2	2	1/8	1/8	1	239												36				
16	16	68	68	0.5	1	1	Chord	3/2	2	2	1/8	1/8	1	240												36				
16	16	137/2	137/2	0.5	9/8	9/8	Chord	3/2	2	2	1/8	1/8	1	241												36				
16	16	69	69	0.5	5/4	5/4	Chord	3/2	2	2	1/8	1/8	1	242												36				
16	16	139/2	139/2	0.5	11/8	11/8	Chord	3/2	2	2	1/8	1/8	1	243																
16	16	64	64	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	244																
16	16	66	66	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	245																
16	16	68	68	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	246																
17	17	70	70	0.0	0	0	Dynamic	3/2	1	1	0						pp													
17	17	70	70	1.0	0	0	Chord	3/2	1	1	1/4	1/4	1	247	fällt	not														
17	17	71	71	1.0	1/4	1/4	Chord	3/2	1	1	1/4	1/4	1	248	auf	on														
17	17	72	72	1.0	1/2	1/2	Chord	3/2	1	1	1/4	1/4	1	249	ihr	her														
17	17	73	73	1.0	3/4	3/4	Chord	3/2	1	1	1/4	1/4	1	250	Ge-	sad														
17	17	74	74	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	251	-sicht	face														
17	17	70	70	0.5	0	0	Chord	3/2	2	1	1/8	1/8	1	252												37				
17	17	141/2	141/2	0.5	1/8	1/8	Chord	3/2	2	1	1/8	1/8	1	253												37				
17	17	71	71	0.0	1/4	1/4	StaffText	3/2	2	1	0								l.H.							37				
17	17	71	71	0.5	1/4	1/4	Chord	3/2	2	1	1/8	1/8	1	254												37				
17	17	143/2	143/2	0.5	3/8	3/8	Chord	3/2	2	1	1/8	1/8	1	255																
17	17	72	72	0.5	1/2	1/2	Chord	3/2	2	1	1/8	1/8	1	256												38				
17	17	145/2	145/2	0.5	5/8	5/8	Chord	3/2	2	1	1/8	1/8	1	257																
17	17	73	73	0.5	3/4	3/4	Chord	3/2	2	1	1/8	1/8	1	258												39				
17	17	147/2	147/2	0.5	7/8	7/8	Chord	3/2	2	1	1/8	1/8	1	259																
17	17	74	74	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	260																
17	17	70	70	0.0	0	0	StaffText	3/2	2	2	0								r.H.											
17	17	70	70	0.5	0	0	Chord	3/2	2	2	1/8	1/8	1	261																
17	17	141/2	141/2	0.5	1/8	1/8	Chord	3/2	2	2	1/8	1/8	1	262																
17	17	71	71	0.5	1/4	1/4	Chord	3/2	2	2	1/8	1/8	1	263																
17	17	143/2	143/2	0.5	3/8	3/8	Chord	3/2	2	2	1/8	1/8	1	264																
17	17	72	72	2.0	1/2	1/2	Chord	3/2	2	2	1/2	1/2	1	265																
17	17	74	74	0.5	1	1	Chord	3/2	2	2	1/8	1/8	1	266																
17	17	149/2	149/2	0.5	9/8	9/8	Chord	3/2	2	2	1/8	1/8	1	267																
17	17	75	75	0.5	5/4	5/4	Chord	3/2	2	2	1/8	1/8	1	268																
17	17	151/2	151/2	0.5	11/8	11/8	Chord	3/2	2	2	1/8	1/8	1	269																
