mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	crescendo_line	Ottava:8va	Ottava:8vb	pedal	Pedal_<sym>keyboardPedalPed</sym>
8	8	28	28	2.0	0	0	Chord	4/4	3	1	1/2			1/2	1	80												16							
8	8	30	30	1.0	1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	81												16							
8	8	31	31	1.0	3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	82																			
9	9	32	32	0.0	0	0	Chord	4/4	2	1	0	acciaccatura		1/8	1	83													1						
9	9	32	32	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	84													1						
9	9	33	33	0.0	1/4	1/4	Dynamic	4/4	2	1	0								p																
9	9	33	33	0.0	1/4	1/4	Spanner	4/4	2	1	0																								
9	9	33	33	0.0	1/4	1/4	Spanner	4/4	2	1	0																		2						
9	9	33	33	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	85												17	2						
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	86													2						
9	9	34	34	0.0	1/2	1/2	Chord	4/4	2	1	0	acciaccatura		1/8	1	87													2						
9	9	34	34	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	88													2						
9	9	35	35	0.0	3/4	3/4	Dynamic	4/4	2	1	0								mf																
9	9	35	35	0.0	3/4	3/4	Spanner	4/4	2	1	0																								
9	9	35	35	0.0	3/4	3/4	Spanner	4/4	2	1	0																		3						
9	9	35	35	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	89												18	3						
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	90													3						
9	9	32	32	4.0	0	0	Chord	4/4	3	1	1			1	1	91																			
9	9	32	32	2.0	0	0	Chord	4/4	3	2	1/2			1/2	1	92												19							
9	9	34	34	1.0	1/2	1/2	Chord	4/4	3	2	1/4			1/4	1	93												19							
9	9	35	35	1.0	3/4	3/4	Chord	4/4	3	2	1/4			1/4	1	94																			
10	10	36	36	0.0	0	0	Spanner	4/4	2	1	0																								
10	10	36	36	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	95												20							
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	96																			
10	10	37	37	1.5	1/4	1/4	Chord	4/4	2	1	3/8			1/4	3/2	97																			
10	10	77/2	77/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	98												21							
10	10	39	39	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	99												21							
10	10	79/2	79/2	0.0	7/8	7/8	Dynamic	4/4	2	1	0								mp																
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	100																			
10	10	36	36	0.0	0	0	Dynamic	4/4	2	2	0								f																
10	10	36	36	4.0	0	0	Chord	4/4	2	2	1			1	1	101																			
10	10	73/2	73/2	0.0	1/8	1/8	Spanner	4/4	2	2	0																			3					
10	10	36	36	1.0	0	0	Chord	4/4	3	1	1/4			1/4	1	102												22							
10	10	37	37	1.0	1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	103												22							
10	10	38	38	1.0	1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	104												22							
10	10	39	39	1.0	3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	105																			
11	11	40	40	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	106												23							
11	11	81/2	81/2	0.0	1/8	1/8	Spanner	4/4	2	1	0																	23		4					
11	11	81/2	81/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	107												23		4					
11	11	41	41	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	108												23		4					
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	109												23		4					
11	11	42	42	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	110												23		4					
11	11	85/2	85/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	111												23		4					
11	11	43	43	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	112												23		4					
11	11	87/2	87/2	0.0	7/8	7/8	Dynamic	4/4	2	1	0								p																
11	11	87/2	87/2	0.0	7/8	7/8	Spanner	4/4	2	1	0																								
11	11	87/2	87/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	113																			
11	11	40	40	0.0	0	0	Dynamic	4/4	2	2	0								f																
11	11	40	40	0.0	0	0	Spanner	4/4	2	2	0																								
11	11	40	40	2.0	0	0	Chord	4/4	2	2	1/2			1/2	1	114																			
11	11	42	42	2.0	1/2	1/2	Chord	4/4	2	2	1/2			1/2	1	115																			
11	11	40	40	2.0	0	0	Chord	4/4	3	1	1/2			1/2	1	116												24							
11	11	42	42	2.0	1/2	1/2	Chord	4/4	3	1	1/2			1/2	1	117																			
12	12	44	44	0.0	0	0	Spanner	4/4	2	1	0																		4						
12	12	44	44	2.0	0	0	Chord	4/4	2	1	1/2			1/2	1	118													4						
12	12	46	46	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	119													4						
12	12	93/2	93/2	0.0	5/8	5/8	Dynamic	4/4	2	1	0								mf																
12	12	93/2	93/2	0.0	5/8	5/8	Spanner	4/4	2	1	0																								
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	120				articAccentAbove								25							
12	12	47	47	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	121				articAccentAbove								25							
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	122				articAccentAbove															
12	12	46	46	1.0	1/2	1/2	Chord	4/4	2	2	1/4			1/4	1	123																			
12	12	47	47	1.0	3/4	3/4	Chord	4/4	2	2	1/4			1/4	1	124																			
12	12	44	44	0.0	0	0	Spanner	4/4	3	1	0																		5						
12	12	44	44	2.0	0	0	Chord	4/4	3	1	1/2			1/2	1	125													5						
12	12	46	46	1.0	1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	126													5						
12	12	47	47	1.0	3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	127													5						
12	12	44	44	1.0	0	0	Chord	4/4	3	2	1/4			1/4	1	128												26	5						
12	12	45	45	1.0	1/4	1/4	Chord	4/4	3	2	1/4			1/4	1	129												26	5						
12	12	46	46	1.0	1/2	1/2	Chord	4/4	3	2	1/4			1/4	1	130												26	5						
12	12	47	47	0.0	3/4	3/4	Dynamic	4/4	3	2	0								mf										5						
12	12	47	47	1.0	3/4	3/4	Chord	4/4	3	2	1/4			1/4	1	131													5						
13	13	48	48	0.0	0	0	Dynamic	4/4	2	1	0								p																
13	13	48	48	0.0	0	0	Spanner	4/4	2	1	0																		6						
13	13	48	48	2.0	0	0	Chord	4/4	2	1	1/2			1/2	1	132													6						
13	13	50	50	0.0	1/2	1/2	Spanner	4/4	2	1	0																								
13	13	50	50	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	133																			
13	13	101/2	101/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	134				articAccentAbove								27							
13	13	51	51	0.0	3/4	3/4	Dynamic	4/4	2	1	0								f									27							
13	13	51	51	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	135				articAccentAbove								27							
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	136				articAccentAbove															
13	13	48	48	0.0	0	0	Spanner	4/4	3	1	0																		7						
13	13	48	48	0.0	0	0	Spanner	4/4	3	1	0																		7						
13	13	48	48	1.0	0	0	Chord	4/4	3	1	1/4			1/4	1	137												28	7						
13	13	49	49	1.0	1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	138												28	7						
13	13	50	50	1.0	1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	139												28	7						
13	13	51	51	1.0	3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	140													7						
13	13	48	48	3.0	0	0	Chord	4/4	3	2	3/4			1/2	3/2	141													7						
13	13	51	51	1.0	3/4	3/4	Chord	4/4	3	2	1/4			1/4	1	142													7						
13	13	48	48	1.0	0	0	Chord	4/4	3	3	1/4			1/4	1	143												29	7						
13	13	49	49	1.0	1/4	1/4	Chord	4/4	3	3	1/4			1/4	1	144												29	7						
13	13	50	50	1.0	1/2	1/2	Chord	4/4	3	3	1/4			1/4	1	145												29	7						
13	13	51	51	1.0	3/4	3/4	Chord	4/4	3	3	1/4			1/4	1	146													7						
14	14	52	52	0.0	0	0	Spanner	4/4	2	1	0																		8						
14	14	52	52	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	147												30	8						
14	14	105/2	105/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	148												30	8						
14	14	53	53	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	149												30	8						
14	14	107/2	107/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	150												30	8						
14	14	54	54	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	151												30	8						
14	14	109/2	109/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	152												30	8						
14	14	55	55	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	153												30	8						
14	14	111/2	111/2	0.0	7/8	7/8	Spanner	4/4	2	1	0																								
14	14	111/2	111/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	154																			
14	14	52	52	0.0	0	0	Dynamic	4/4	3	1	0								mp																
14	14	52	52	0.0	0	0	Spanner	4/4	3	1	0																								
14	14	52	52	0.0	0	0	Spanner	4/4	3	1	0																		9						
14	14	52	52	2.0	0	0	Chord	4/4	3	1	1/2			1/2	1	155													9						
14	14	54	54	2.0	1/2	1/2	Chord	4/4	3	1	1/2			1/2	1	156													9						
14	14	105/2	105/2	1.0	1/8	1/8	Chord	4/4	3	2	1/4			1/4	1	157													9						
14	14	107/2	107/2	1.0	3/8	3/8	Chord	4/4	3	2	1/4			1/4	1	158													9						
14	14	109/2	109/2	1.0	5/8	5/8	Chord	4/4	3	2	1/4			1/4	1	159													9						
14	14	111/2	111/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8			1/8	1	160													9						
14	14	52	52	2.0	0	0	Chord	4/4	3	3	1/2			1/2	1	161													9						
14	14	54	54	1.0	1/2	1/2	Chord	4/4	3	3	1/4			1/4	1	162													9						
14	14	55	55	1.0	3/4	3/4	Chord	4/4	3	3	1/4			1/4	1	163													9						
15	15	56	56	0.0	0	0	Chord	4/4	2	1	0	acciaccatura		1/8	1	164																			
15	15	56	56	0.5	0	0	Chord	4/4	2	1	1/8			1/8	1	165												31							
15	15	113/2	113/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	166																			
15	15	57	57	2.0	1/4	1/4	Chord	4/4	2	1	1/2			1/2	1	167																			
15	15	59	59	0.0	3/4	3/4	Dynamic	4/4	2	1	0								pp																
15	15	237/4	237/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16			1/16	1	168												32							
15	15	119/2	119/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16			1/16	1	169												32							
15	15	239/4	239/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	170												32							
15	15	56	56	0.0	0	0	Dynamic	4/4	3	1	0								f																
15	15	56	56	0.0	0	0	Spanner	4/4	3	1	0																								
15	15	56	56	0.0	0	0	Spanner	4/4	3	1	0																			5					
15	15	56	56	0.0	0	0	Chord	4/4	3	1	0	acciaccatura		1/8	1	171														5					
15	15	56	56	1.0	0	0	Chord	4/4	3	1	1/4			1/4	1	172				ornamentTrill										5					
15	15	57	57	1.0	1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	173				ornamentTrill										5					
15	15	58	58	0.0	1/2	1/2	Dynamic	4/4	3	1	0								p																
15	15	58	58	0.0	1/2	1/2	Spanner	4/4	3	1	0																								
15	15	58	58	1.0	1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	174				ornamentTrill															
15	15	59	59	1.0	3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	175				ornamentTrill															
16	16	60	60	0.25	0	0	Chord	4/4	2	1	1/16			1/16	1	176												32							
16	16	241/4	241/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16			1/16	1	177																			
16	16	253/4	253/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16			1/16	1	178												33							
16	16	127/2	127/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16			1/16	1	179												33							
16	16	255/4	255/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	180																			
16	16	60	60	0.0	0	0	Dynamic	4/4	3	1	0								f																
16	16	60	60	0.0	0	0	Spanner	4/4	3	1	0																			6					
16	16	60	60	1.0	0	0	Chord	4/4	3	1	1/4			1/4	1	181				ornamentTrill										6					
16	16	61	61	1.0	1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	182				ornamentTrill										6					
16	16	62	62	0.0	1/2	1/2	Dynamic	4/4	3	1	0								p																
16	16	62	62	0.0	1/2	1/2	Spanner	4/4	3	1	0																								
16	16	62	62	1.0	1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	183				ornamentTrill															
16	16	63	63	1.0	3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	184				ornamentTrill															
17	17	133/2	133/2	0.0	5/8	5/8	Dynamic	4/4	1	1	0								p																
17	17	133/2	133/2	0.0	5/8	5/8	Spanner	4/4	1	1	0																		10						
17	17	133/2	133/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	185	In	In											10						
17	17	67	67	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	186	die-	such											10						
17	17	135/2	135/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	187	-sem	a											10						
17	17	64	64	0.0	0	0	Dynamic	4/4	3	1	0								f																
17	17	64	64	0.0	0	0	Spanner	4/4	3	1	0																			7					
17	17	64	64	1.0	0	0	Chord	4/4	3	1	1/4			1/4	1	188				ornamentTrill										7					
17	17	65	65	1.0	1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	189				ornamentTrill										7					
17	17	66	66	0.0	1/2	1/2	Dynamic	4/4	3	1	0								p																
17	17	66	66	0.0	1/2	1/2	Spanner	4/4	3	1	0																								
17	17	66	66	1.0	1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	190				ornamentTrill															
17	17	67	67	1.0	3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	191				ornamentTrill															
17	17	64	64	2.0	0	0	Chord	4/4	3	2	1/2			1/2	1	192																			
17	17	66	66	1.0	1/2	1/2	Chord	4/4	3	2	1/4			1/4	1	193																			
17	17	67	67	1.0	3/4	3/4	Chord	4/4	3	2	1/4			1/4	1	194																			
18	18	68	68	0.0	0	0	Spanner	4/4	1	1	0																								
18	18	68	68	0.0	0	0	Spanner	4/4	1	1	0																			8					
18	18	68	68	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	195	Wet-	tem-												8					
18	18	69	69	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	196	-ter,	-pest,												8					
18	18	70	70	0.0	1/2	1/2	Spanner	4/4	1	1	0																								
18	18	141/2	141/2	0.0	5/8	5/8	Spanner	4/4	1	1	0																		11						
18	18	141/2	141/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	197	in	on											11						
18	18	71	71	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	198	die-	such											11						
18	18	143/2	143/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	199	-sem	a											11						
18	18	68	68	0.0	0	0	Dynamic	4/4	3	1	0								pp																
18	18	68	68	0.0	0	0	Dynamic	4/4	3	1	0								p																
18	18	68	68	0.0	0	0	Spanner	4/4	3	1	0																			9					
18	18	68	68	1.0	0	0	Chord	4/4	3	1	1/4			1/4	1	200				ornamentTrill										9					
18	18	69	69	1.0	1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	201				ornamentTrill										9					
18	18	70	70	1.0	1/2	1/2	Chord	4/4	3	1	1/4			1/4	1	202				ornamentTrill										9					
18	18	71	71	0.0	3/4	3/4	Dynamic	4/4	3	1	0								pp																
18	18	71	71	0.0	3/4	3/4	Spanner	4/4	3	1	0																								
18	18	71	71	1.0	3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	203				ornamentTrill															
18	18	68	68	2.0	0	0	Chord	4/4	3	2	1/2			1/2	1	204				articAccentBelow															
18	18	70	70	2.0	1/2	1/2	Chord	4/4	3	2	1/2			1/2	1	205				articAccentBelow															
19	19	72	72	0.0	0	0	Spanner	4/4	1	1	0																								
19	19	72	72	0.0	0	0	Spanner	4/4	1	1	0																			10					
19	19	72	72	2.0	0	0	Chord	4/4	1	1	1/2			1/2	1	206	Braus,	day,												10					
19	19	74	74	0.0	1/2	1/2	Spanner	4/4	1	1	0																								
19	19	75	75	0.0	3/4	3/4	Dynamic	4/4	1	1	0								p																
19	19	75	75	1.0	3/4	3/4	Chord	4/4	1	1	1/4			1/4	1	207	nie	I																	
19	19	75	75	0.0	3/4	3/4	Dynamic	4/4	2	1	0								pp																
19	19	75	75	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	208												34							
19	19	151/2	151/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	209																			
19	19	72	72	0.0	0	0	Spanner	4/4	3	1	0																			11					
19	19	72	72	1.0	0	0	Chord	4/4	3	1	1/4			1/4	1	210				articAccentAbove										11					
19	19	73	73	1.0	1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	211				articAccentAbove										11					
