mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	3/4	2/2	3	1	Eb.I{				Eb	I		I	I						{	M	0	0	-3, 1, -2		-3	-3	4	19	0.17391304347826086	1.0	4.0	0.2
3	2	1/2	1/2	2/2	3	2	IV				Eb	I		IV	IV							M	0	0	-4, 0, -3		-4	-4	3	4	0.42857142857142855	0.5	1.5	0.25
4	3	0	0	2/2	3	2	V7(b9)				Eb	I		V7(b9)	V		7	b9				Mm7	0	0	-2, 2, -1, -4	-7	-2	-2	8	31	0.20512820512820512	1.875	7.375	0.20270270270270271
7	6	0	0	2/2	3	2	i|IAC}{				Eb	I		i	i					IAC	}{	m	0	0	-3, -6, -2		-3	-3	6	27	0.18181818181818182	1.5	6.25	0.1935483870967742
9	8	0	0	3/2	3	2	V7				Eb	I		V7	V		7					Mm7	0	0	-2, 2, -1, -4		-2	-2	9	31	0.225	2.0	7.25	0.21621621621621623
11	10	0	0	2/2	3	1	i				Eb	I		i	i							m	0	0	-3, -6, -2		-3	-3	7	21	0.25	1.625	4.375	0.2708333333333333
12	11	1/2	1/2	2/2	3	1	iio6				Eb	I		iio6	ii	o	6					o	0	0	-4, -7, -1		-1	-4	3	4	0.42857142857142855	0.75	1.25	0.375
13	12	0	0	2/2	3	2	V7/bIII				Eb	I		V7/bIII	V		7		bIII			Mm7	0	0	-5, -1, -4, -7		-5	-5	3	8	0.2727272727272727	0.75	4.25	0.15
14	13	0	0	2/2	3	1	bIII|IAC}				Eb	I		bIII	bIII					IAC	}	M	0	0	-6, -2, -5		-6	-6	5	26	0.16129032258064516	1.125	7.375	0.1323529411764706
16	15	0	0	2/2	3	1	V[V7(94){				Eb	I	V	V7(94)	V		7	94			{	Mm7	0	0	-2, -3, -1, -4	0	-2	-2	2	12	0.14285714285714285	0.5	6.0	0.07692307692307693
17	16	1/2	1/2	2/2	3	1	I64				Eb	I	V	I64	I		64					M	0	0	-2, -3, 1		-3	-2	0	3	0.0	0.0	1.5	0.0
18	17	0	0	2/2	3	1	viio2/V				Eb	I	V	viio2/V	vii	o	2		V			o7	0	0	-6, 3, 0, -3		3	-6	2	7	0.2222222222222222	1.25	2.75	0.3125
19	18	0	0	2/2	3	1	V7(9)]				Eb	I	V	V7(9)	V		7	9				Mm7	0	0	-2, 2, -1, -4	0	-2	-2	1	8	0.1111111111111111	0.25	3.75	0.0625
20	19	0	0	2/2	3	1	I				Eb	I		I	I							M	0	0	-3, 1, -2		-3	-3	6	19	0.24	1.5	4.5	0.25
21	20	1/2	1/2	2/2	3	1	IV				Eb	I		IV	IV							M	0	0	-4, 0, -3		-4	-4	3	4	0.42857142857142855	0.75	1.25	0.375
22	21	0	0	2/2	3	2	V7(#11)				Eb	I		V7(#11)	V		7	#11				Mm7	0	0	-2, 2, -1, -4	4	-2	-2	0	8	0.0	0.0	4.75	0.0
23	22	0	0	2/2	3	2	V7				Eb	I		V7	V		7					Mm7	0	0	-2, 2, -1, -4		-2	-2	9	13	0.4090909090909091	2.25	6.0	0.2727272727272727
25	24	0	0	2/2	3	1	i|IAC}{				Eb	I		i	i					IAC	}{	m	0	0	-3, -6, -2		-3	-3	4	13	0.23529411764705882	1.0	4.25	0.19047619047619047
26	25	1/2	1/2	2/2	3	1	iv				Eb	I		iv	iv							m	0	0	-4, -7, -3		-4	-4	4	4	0.5	0.75	1.25	0.375
27	26	0	0	3/2	3	1	V7				Eb	I		V7	V		7					Mm7	0	0	-2, 2, -1, -4		-2	-2	8	18	0.3076923076923077	2.0	8.0	0.2
29	28	0	0	2/2	3	1	i				Eb	I		i	i							m	0	0	-3, -6, -2		-3	-3	1	11	0.08333333333333333	0.25	4.0	0.058823529411764705
30	29	0	0	2/2	3	1	iv				Eb	I		iv	iv							m	0	0	-4, -7, -3		-4	-4	6	8	0.42857142857142855	1.5	2.5	0.375
31	30	0	0	2/2	3	1	V/bIII				Eb	I		V/bIII	V				bIII			M	0	0	-5, -1, -4		-5	-5	6	7	0.46153846153846156	1.5	2.5	0.375
32	31	0	0	2/2	3	1	bIII|IAC}{				Eb	I		bIII	bIII					IAC	}{	M	0	0	-6, -2, -5		-6	-6	4	18	0.18181818181818182	1.0	4.25	0.19047619047619047
33	32	1/2	1/2	2/2	3	1	iv/bIII				Eb	I		iv/bIII	iv				bIII			m	0	0	-7, -10, -6		-7	-7	3	3	0.5	0.5	1.0	0.3333333333333333
34	33	0	0	2/2	3	2	V7(b9)/bIII				Eb	I		V7(b9)/bIII	V		7	b9	bIII			Mm7	0	0	-5, -1, -4, -7	-10	-5	-5	4	18	0.18181818181818182	1.0	5.0	0.16666666666666666
36	35	0	0	3/2	3	1	V7/bV|HC}				Eb	I		V7/bV	V		7		bV	HC	}	Mm7	0	0	-8, -4, -7, -10		-8	-8	3	14	0.17647058823529413	0.75	5.25	0.125
37	36	0	0	2/2	3	1	V[V7(94){				Eb	I	V	V7(94)	V		7	94			{	Mm7	0	0	-2, -3, -1, -4	0	-2	-2	2	13	0.13333333333333333	0.5	9.0	0.05263157894736842
38	37	1/2	1/2	2/2	3	1	I64				Eb	I	V	I64	I		64					M	0	0	-2, -3, 1		-3	-2	0	5	0.0	0.0	1.25	0.0
39	38	0	0	2/2	3	1	viio7/V				Eb	I	V	viio7/V	vii	o	7		V			o7	0	0	3, 0, -3, -6		3	3	1	9	0.1	1.0	3.0	0.25
40	39	0	0	2/2	3	1	V7(9)]				Eb	I	V	V7(9)	V		7	9				Mm7	0	0	-2, 2, -1, -4	0	-2	-2	1	9	0.1	1.0	3.0	0.25
41	40	0	0	2/2	3	1	I				Eb	I		I	I							M	0	0	-3, 1, -2		-3	-3	6	15	0.2857142857142857	1.5	4.5	0.25
42	41	1/2	1/2	2/2	3	1	IV				Eb	I		IV	IV							M	0	0	-4, 0, -3		-4	-4	3	4	0.42857142857142855	0.75	1.25	0.375
43	42	0	0	2/2	3	1	V7(#11)				Eb	I		V7(#11)	V		7	#11				Mm7	0	0	-2, 2, -1, -4	4	-2	-2	0	9	0.0	0.0	5.0	0.0
44	43	0	0	2/2	3	1	V7				Eb	I		V7	V		7					Mm7	0	0	-2, 2, -1, -4		-2	-2	14	15	0.4827586206896552	5.25	8.0	0.39622641509433965
47	46	0	0	2/2	3	1	i|IAC}{				Eb	I		i	i					IAC	}{	m	0	0	-3, -6, -2		-3	-3	14	40	0.25925925925925924	2.375	6.875	0.25675675675675674
49	48	1/2	1/2	2/2	3	1	V7(b9)				Eb	I		V7(b9)	V		7	b9				Mm7	0	0	-2, 2, -1, -4	-7	-2	-2	4	30	0.11764705882352941	0.625	7.625	0.07575757575757576
