mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	3/4	4/4	3	1	d.VII{					d	i		VII	VII						{	M	1	1	0, 4, 1		0	0	0	1	0.0	0.0	0.25	0.0
2	1	0	0	4/4	3	1	#viio2/v					d	i		#viio2/v	#vii	o	2		v			o7	1	1	-1, 8, 5, 2		8	-1	0	3	0.0	0.0	1.0	0.0
2	1	1/2	1/2	4/4	3	1	v64					d	i		v64	v		64					m	1	1	4, 3, 0		3	4	0	2	0.0	0.0	0.5	0.0
2	1	3/4	3/4	4/4	3	1	viio6/VII	-1.1	3.5		/	d	i		viio6/VII	vii	o	6		VII			o	1	1	2, -1, 5		5	2	0	2	0.0	0.0	0.5	0.0
3	2	0	0	4/4	3	1	#viio2/iv					d	i		#viio2/iv	#vii	o	2		iv			o7	1	1	-3, 6, 3, 0		6	-3	0	3	0.0	0.0	1.0	0.0
3	2	1/2	1/2	4/4	3	1	iv64					d	i		iv64	iv		64					m	1	1	2, 1, -2		1	2	0	2	0.0	0.0	0.5	0.0
3	2	3/4	3/4	4/4	3	1	iv6					d	i		iv6	iv		6					m	1	1	-2, 2, 1		1	-2	2	2	0.5	0.25	0.25	0.5
4	3	0	0	4/4	3	1	V					d	i		V	V							M	1	1	3, 7, 4		3	3	0	2	0.0	0.0	0.5	0.0
4	3	1/4	1/4	4/4	3	1	i					d	i		i	i							m	1	1	2, -1, 3		2	2	0	2	0.0	0.0	0.5	0.0
4	3	1/2	1/2	4/4	3	1	iv					d	i		iv	iv							m	1	1	1, -2, 2		1	1	1	4	0.2	0.125	0.875	0.125
5	4	0	0	4/4	3	1	i					d	i		i	i							m	1	1	2, -1, 3		2	2	2	4	0.3333333333333333	0.5	1.75	0.2222222222222222
6	5	0	0	4/4	3	1	i(6)					d	i		i(6)	i			6				m	1	1	2, -1, -2		2	2	1	3	0.25	0.25	2.0	0.1111111111111111
6	5	3/4	3/4	4/4	3	1	i					d	i		i	i							m	1	1	2, -1, 3		2	2	0	1	0.0	0.0	0.25	0.0
7	6	0	0	4/4	3	1	i(4)					d	i		i(4)	i			4				m	1	1	2, 1, 3		2	2	1	3	0.25	0.25	2.0	0.1111111111111111
7	6	3/4	3/4	4/4	3	1	i					d	i		i	i							m	1	1	2, -1, 3		2	2	0	1	0.0	0.0	0.25	0.0
8	7	0	0	4/4	3	1	VI(^4)					d	i		VI(^4)	VI			^4				M	1	1	-2, 2, 4		-2	-2	1	2	0.3333333333333333	0.25	1.75	0.125
8	7	1/2	1/2	4/4	3	1	VI	4.61789	3.47973	-1.73722	/	d	i		VI	VI							M	1	1	-2, 2, -1		-2	-2	0	2	0.0	0.0	0.75	0.0
9	8	0	0	4/4	3	2	ii%65	-0.184572	3.50131	0.315428	/	d	i		ii%65	ii	%	65					%7	1	1	1, -2, 2, 4		4	1	5	10	0.3333333333333333	1.125	6.375	0.15
11	10	3/4	3/4	4/4	3	1	V65/V					d	i		V65/V	V		65		V			Mm7	1	1	8, 5, 2, 4		4	8	0	2	0.0	0.0	0.5	0.0
12	11	0	0	4/4	3	1	V[i					d	i	V	i	i							m	1	1	2, -1, 3		2	2	0	6	0.0	0.0	1.5	0.0
12	11	1/2	1/2	4/4	3	1	I					d	i	V	I	I							M	1	1	2, 6, 3		2	2	0	7	0.0	0.0	1.5	0.0
13	12	0	0	4/4	3	1	V7(#6#4)					d	i	V	V7(#6#4)	V		7	#6#4				Mm7	1	1	3, 7, 9, 6		3	3	1	4	0.2	0.125	0.625	0.16666666666666666
13	12	1/4	1/4	4/4	3	1	V7					d	i	V	V7	V		7					Mm7	1	1	3, 7, 4, 1		3	3	3	9	0.25	0.375	1.875	0.16666666666666666
14	13	0	0	4/4	3	1	V7(^8#6)					d	i	V	V7(^8#6)	V		7	^8#6				Mm7	1	1	3, 7, 4, 6		3	3	1	4	0.2	0.125	0.625	0.16666666666666666
14	13	1/4	1/4	4/4	3	1	V7(9)					d	i	V	V7(9)	V		7	9				Mm7	1	1	3, 7, 4, 1	-2	3	3	2	12	0.14285714285714285	0.25	2.0	0.1111111111111111
15	14	0	0	4/4	3	1	V(64)/I					d	i	V	V(64)/I	V			64	I			M	1	1	3, 2, 6		3	3	3	9	0.25	0.375	1.125	0.25
15	14	1/2	1/2	4/4	3	1	V7/I]					d	i	V	V7/I	V		7		I			Mm7	1	1	3, 7, 4, 1		3	3	3	9	0.25	0.375	1.125	0.25
16	15	0	0	4/4	3	2	I(94)					d	i		I(94)	I			94				M	1	1	2, 1, 3	4	2	2	0	4	0.0	0.0	0.75	0.0
