mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	3	2	d.i{						d	i		i		i						{	m	1	1	2, -1, 3		2	2	18	38	0.32142857142857145	3.5	6.5	0.35
4	4	0	0	4/4	3	1	VI						d	i		VI		VI							M	1	1	-2, 2, -1		-2	-2	7	7	0.5	1.5	2.5	0.375
5	5	0	0	4/4	3	1	i6						d	i		i6		i		6					m	1	1	-1, 3, 2		2	-1	5	7	0.4166666666666667	1.5	3.5	0.3
6	6	0	0	4/4	3	1	i7						d	i		i7		i		7					mm7	1	1	2, -1, 3, 0		2	2	5	8	0.38461538461538464	1.125	3.375	0.25
7	7	0	0	4/4	3	1	VI						d	i		VI		VI							M	1	1	-2, 2, -1		-2	-2	1	5	0.16666666666666666	0.25	2.25	0.1
7	7	1/2	1/2	4/4	3	1	i43						d	i		i43		i		43					mm7	1	1	3, 0, 2, -1		2	3	9	12	0.42857142857142855	2.5	5.0	0.3333333333333333
9	9	0	0	4/4	3	2	vii6						d	i		vii6		vii		6					m	1	1	-3, 1, 0		0	-3	1	6	0.14285714285714285	0.125	2.875	0.041666666666666664
9	9	1/2	1/2	4/4	3	2	i						d	i		i		i							m	1	1	2, -1, 3		2	2	4	2	0.6666666666666666	0.5	0.5	0.5
10	10	0	0	4/4	3	1	vii						d	i		vii		vii							m	1	1	0, -3, 1		0	0	9	7	0.5625	1.875	3.125	0.375
11	11	0	0	4/4	3	1	Ger65/vii						d	i		Ger65/vii	Ger	vii	o	65	b3	V/vii			Ger	1	1	-4, 0, -3, 6		6	-4	2	6	0.25	0.25	2.25	0.1
11	11	1/2	1/2	4/4	3	1	vii64						d	i		vii64		vii		64					m	1	1	1, 0, -3		0	1	3	5	0.375	0.375	2.125	0.15
12	12	0	0	4/4	3	2	V7/bIV						d	i		V7/bIV		V		7		bIV			Mm7	1	1	-5, -1, -4, -7		-5	-5	16	13	0.5517241379310345	3.5	4.0	0.4666666666666667
14	14	0	0	4/4	3	3	V7/VI						d	i		V7/VI		V		7		VI			Mm7	1	1	-1, 3, 0, -3		-1	-1	3	5	0.375	0.5	1.5	0.25
14	14	1/2	1/2	4/4	3	3	VI						d	i		VI		VI							M	1	1	-2, 2, -1		-2	-2	1	4	0.2	0.125	1.125	0.1
14	14	3/4	3/4	4/4	3	3	It6/III						d	i		It6/III	It	vii	o	6	b3	V/III			It	1	1	-5, -1, 5		5	-5	0	4	0.0	0.0	0.625	0.0
15	15	0	0	4/4	3	1	i						d	i		i		i							m	1	1	2, -1, 3		2	2	3	9	0.25	0.75	1.1875	0.3870967741935484
16	16	0	0	4/4	3	1	VI						d	i		VI		VI							M	1	1	-2, 2, -1		-2	-2	6	5	0.5454545454545454	1.125	1.25	0.47368421052631576
16	16	3/4	3/4	4/4	3	1	V2(+4)						d	i		V2(+4)		V		2	+4				Mm7	1	1	1, 3, 7, 4	2	3	1	0	6	0.0	0.0	0.9375	0.0
17	17	0	0	4/4	3	2	i6(#7)					III+	d	i		i6(#7)		i		6	#7				m	1	1	-1, 3, 7		2	-1	3	4	0.42857142857142855	0.75	1.25	0.375
17	17	1/2	1/2	4/4	3	2	ii%7						d	i		ii%7		ii	%	7					%7	1	1	4, 1, -2, 2		4	4	0	5	0.0	0.0	1.125	0.0
17	17	3/4	3/4	4/4	3	2	Fr2/IV						d	i		Fr2/IV	Fr	V		2	b5	V/IV			Fr	1	1	1, 3, 7, -3		3	1	3	3	0.5	0.5	0.75	0.4
18	18	0	0	4/4	3	2	i						d	i		i		i							m	1	1	2, -1, 3		2	2	4	13	0.23529411764705882	1.0	3.875	0.20512820512820512
19	19	0	0	4/4	3	2	VI6						d	i		VI6		VI		6					M	1	1	2, -1, -2		-2	2	2	5	0.2857142857142857	0.5	2.0	0.2
19	19	1/2	1/2	4/4	3	2	iii						d	i		iii		iii							m	1	1	-1, -4, 0		-1	-1	5	4	0.5555555555555556	1.0	1.5	0.4
20	20	0	0	4/4	3	1	ii65						d	i		ii65		ii		65					mm7	1	1	1, 5, 2, 4		4	1	1	7	0.125	0.125	2.375	0.05
20	20	1/2	1/2	4/4	3	1	V(+4)						d	i		V(+4)		V			+4				M	1	1	3, 7, 4	2	3	3	0	9	0.0	0.0	2.5	0.0
21	21	0	0	4/4	3	1	i7						d	i		i7		i		7					mm7	1	1	2, -1, 3, 0		2	2	4	5	0.4444444444444444	1.375	2.375	0.36666666666666664
21	21	1/2	1/2	4/4	3	1	ii65						d	i		ii65		ii		65					mm7	1	1	1, 5, 2, 4		4	1	3	10	0.23076923076923078	0.5	3.5	0.125
22	22	1/2	1/2	4/4	3	1	V(94)						d	i		V(94)		V			94				M	1	1	3, 2, 4	-2	3	3	2	7	0.2222222222222222	0.375	2.125	0.15
23	23	0	0	4/4	3	1	Fr65						d	i		Fr65	Fr	V		65	b5	V			Fr	1	1	8, -2, 2, 4		4	8	2	16	0.1111111111111111	0.75	6.875	0.09836065573770492
