mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	3	2	c.i{				c	i		i		i						{	m	1	1	0, -3, 1		0	0	1	6	0.14285714285714285	0.125	1.375	0.08333333333333333
1	1	1/2	1/2	4/4	3	2	V				c	i		V		V							M	1	1	1, 5, 2		1	1	2	10	0.16666666666666666	0.25	2.375	0.09523809523809523
2	2	1/2	1/2	4/4	3	2	i64				c	i		i64		i		64					m	1	1	1, 0, -3		0	1	3	3	0.5	0.375	0.875	0.3
3	3	0	0	4/4	3	2	i6				c	i		i6		i		6					m	1	1	-3, 1, 0		0	-3	0	4	0.0	0.0	1.5	0.0
3	3	1/4	1/4	4/4	3	2	iv64				c	i		iv64		iv		64					m	1	1	0, -1, -4		-1	0	4	9	0.3076923076923077	1.0	2.0	0.3333333333333333
4	4	1/2	1/2	4/4	3	1	V7				c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1						
4	4	0	0	4/4	3	2	i				c	i		i		i							m	1	1	0, -3, 1		0	0	4	7	0.36363636363636365	1.0	2.0	0.3333333333333333
5	5	0	0	4/4	3	2	i				c	i		i		i							m	1	1	0, -3, 1		0	0	2	5	0.2857142857142857	0.25	1.25	0.16666666666666666
5	5	1/2	1/2	4/4	3	2	V				c	i		V		V							M	1	1	1, 5, 2		1	1	2	5	0.2857142857142857	0.25	1.25	0.16666666666666666
6	6	0	0	4/4	3	1	V7/VI				c	i		V7/VI		V		7		VI			Mm7	1	1	-3, 1, -2, -5		-3	-3	1	5	0.16666666666666666	0.125	1.375	0.08333333333333333
6	6	1/2	1/2	4/4	3	1	VI				c	i		VI		VI							M	1	1	-4, 0, -3		-4	-4	4	5	0.4444444444444444	0.5	1.0	0.3333333333333333
7	7	0	0	4/4	3	2	V7/V				c	i		V7/V		V		7		V			Mm7	1	1	2, 6, 3, 0		2	2	2	5	0.2857142857142857	0.25	1.75	0.125
7	7	1/2	1/2	4/4	3	2	V|HC}				c	i		V		V					HC	}	M	1	1	1, 5, 2		1	1	4	6	0.4	0.5	1.5	0.25
8	8	0	0	3/2	3	2	i{				c	i		i		i						{	m	1	1	0, -3, 1		0	0	2	8	0.2	0.25	3.25	0.07142857142857142
8	8	1/2	1/2	3/2	3	2	V				c	i		V		V							M	1	1	1, 5, 2		1	1	4	10	0.2857142857142857	0.5	2.75	0.15384615384615385
9	9	0	0	3/2	3	2	i				c	i		i		i							m	1	1	0, -3, 1		0	0	2	8	0.2	0.25	3.25	0.07142857142857142
9	9	1/2	1/2	3/2	3	2	V				c	i		V		V							M	1	1	1, 5, 2		1	1	6	11	0.35294117647058826	0.75	3.0	0.2
10	10	1/4	1/4	4/4	3	1	i				c	i		i		i							m	1	1	0, -3, 1		0	0	1	2	0.3333333333333333	0.125	0.375	0.25
10	10	1/2	1/2	4/4	3	1	VI				c	i		VI		VI							M	1	1	-4, 0, -3		-4	-4	1	3	0.25	0.125	0.875	0.125
10	10	3/4	3/4	4/4	3	1	iv				c	i		iv		iv							m	1	1	-1, -4, 0		-1	-1	0	3	0.0	0.0	0.5	0.0
11	11	0	0	4/4	3	1	i				c	i		i		i							m	1	1	0, -3, 1		0	0	0	4	0.0	0.0	1.5	0.0
11	11	1/2	1/2	4/4	3	1	V7				c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1	1	6	0.14285714285714285	0.125	1.375	0.08333333333333333
12	12	0	0	4/4	3	1	i				c	i		i		i							m	1	1	0, -3, 1		0	0	2	7	0.2222222222222222	0.25	2.25	0.1
12	12	1/2	1/2	4/4	3	1	V7				c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1	2	6	0.25	0.25	1.25	0.16666666666666666
13	13	0	0	4/4	3	1	i				c	i		i		i							m	1	1	0, -3, 1		0	0	0	5	0.0	0.0	2.5	0.0
13	13	1/2	1/2	4/4	3	1	V7				c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1	1	6	0.14285714285714285	0.125	1.375	0.08333333333333333
14	14	0	0	4/4	3	1	i				c	i		i		i							m	1	1	0, -3, 1		0	0	2	7	0.2222222222222222	0.25	1.75	0.125
14	14	1/2	1/2	4/4	3	1	iv				c	i		iv		iv							m	1	1	-1, -4, 0		-1	-1	2	7	0.2222222222222222	0.25	1.75	0.125
15	15	0	0	4/4	3	1	V(64)				c	i		V(64)		V			64				M	1	1	1, 0, -3		1	1						
15	15	0	0	4/4	3	1	V|HC}	11.5319	3.51961	/	c	i		V		V					HC	}	M	1	1	1, 5, 2		1	1	7	5	0.5833333333333334	1.25	2.75	0.3125
16	16	0	0	3/2	3	1	V7/VI{				c	i		V7/VI		V		7		VI		{	Mm7	1	1	-3, 1, -2, -5		-3	-3	2	4	0.3333333333333333	0.25	1.25	0.16666666666666666
16	16	1/2	1/2	3/2	3	1	VI				c	i		VI		VI							M	1	1	-4, 0, -3		-4	-4	4	5	0.4444444444444444	0.5	1.0	0.3333333333333333
16	16	1	1	3/2	3	1	V/v				c	i		V/v		V				v			M	1	1	2, 6, 3		2	2	2	4	0.3333333333333333	0.25	1.25	0.16666666666666666
17	17	0	0	3/2	3	1	v				c	i		v		v							m	1	1	1, -2, 2		1	1	5	7	0.4166666666666667	0.625	1.375	0.3125
17	17	1/2	1/2	3/2	3	1	v/v				c	i		v/v		v				v			m	1	1	2, -1, 3		2	2	4	11	0.26666666666666666	0.5	3.0	0.14285714285714285
18	18	0	0	3/2	3	1	v				c	i		v		v							m	1	1	1, -2, 2		1	1	5	7	0.4166666666666667	0.625	1.375	0.3125
