mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
2	2	0	0	4/4	3	1	c.Ger43(^2)/v{				c	i		Ger43(^2)/v	Ger	vii	o	43	b3^2	V/v		{	Ger	1	1	1, -2, 7, 2		7	1	0	4	0.0	0.0	3.5	0.0
2	2	1/2	1/2	4/4	3	1	Ger43/v				c	i		Ger43/v	Ger	vii	o	43	b3	V/v			Ger	1	1	1, -2, 7, -3		7	1	2	2	0.5	0.25	0.625	0.2857142857142857
3	3	1/2	1/2	4/4	3	1	v[v(^2)				c	i	v	v(^2)		v			^2				m	1	1	1, -4, 2		1	1	4	6	0.4	2.5	4.5	0.35714285714285715
4	4	1/2	1/2	4/4	3	1	v	0.280564	4.7599	/	c	i	v	v		v							m	1	1	1, -2, 2		1	1	2	10	0.16666666666666666	0.5	2.75	0.15384615384615385
6	6	0	0	4/4	3	1	VI64				c	i	v	VI64		VI		64					M	1	1	-3, -4, 0		-4	-3	4	15	0.21052631578947367	0.75	6.5	0.10344827586206896
7	7	1/2	1/2	4/4	3	1	Ger2				c	i	v	Ger2	Ger	vii	o	2	b3	V			Ger	1	1	-3, 6, -4, 0		6	-3	1	3	0.25	0.25	1.25	0.16666666666666666
8	8	0	0	4/4	3	1	V65/III				c	i	v	V65/III		V		65		III			Mm7	1	1	2, -1, -4, -2		-2	2	3	9	0.25	0.5	4.125	0.10810810810810811
9	9	0	0	4/4	3	1	IV6/III]	-0.0812632	4.40978	/	c	i	v	IV6/III		IV		6		III			M	1	1	0, -3, -4		-4	0	5	6	0.45454545454545453	1.0	1.5	0.4
9	9	1/2	1/2	4/4	3	1	IV6(#2)/III				c	i		IV6(#2)/III		IV		6	#2	III			M	1	1	5, -3, -4		-4	5	4	3	0.5714285714285714	0.5	0.625	0.4444444444444444
9	9	3/4	3/4	4/4	3	1	IV6/III				c	i		IV6/III		IV		6		III			M	1	1	0, -3, -4		-4	0	2	5	0.2857142857142857	0.25	1.0	0.2
10	10	0	0	4/4	3	1	V65/III				c	i		V65/III		V		65		III			Mm7	1	1	2, -1, -4, -2		-2	2	6	12	0.3333333333333333	1.125	2.875	0.28125
11	11	0	0	4/4	3	1	V43(^#11)/III				c	i		V43(^#11)/III		V		43	^#11	III			Mm7	1	1	-1, -4, -2, 2	4	-2	-1	0	13	0.0	0.0	9.25	0.0
12	12	1/2	1/2	4/4	3	2	iv2				c	i		iv2		iv		2					mm7	1	1	-3, -1, -4, 0		-1	-3	2	3	0.4	0.5	1.25	0.2857142857142857
13	13	0	0	4/4	3	1	bII(^11)				c	i		bII(^11)		bII			^11				M	1	1	-5, -1, -4	1	-5	-5						
13	13	0	0	4/4	3	1	bII}	10.5947	3.57939	/	c	i		bII		bII						}	M	1	1	-5, -1, -4		-5	-5	5	7	0.4166666666666667	2.5	5.25	0.3225806451612903
15	15	0	0	4/4	3	1	I.I(13){				c	I		I(13)		I			13			{	M	1	0	0, 4, 1	3	0	0	1	11	0.08333333333333333	0.25	4.5	0.05263157894736842
16	16	0	0	4/4	3	1	vi(13)				c	I		vi(13)		vi			13				m	1	0	3, 0, 4	-1	3	3	1	7	0.125	0.25	2.25	0.1
16	16	1/2	1/2	4/4	3	1	vi				c	I		vi		vi							m	1	0	3, 0, 4		3	3	1	3	0.25	0.25	1.0	0.2
17	17	0	0	4/4	3	1	ii7(119)				c	I		ii7(119)		ii		7	119				mm7	1	0	2, -1, 3, 0	1, 4	2	2	0	6	0.0	0.0	1.75	0.0
17	17	1/4	1/4	4/4	3	1	ii7				c	I		ii7		ii		7					mm7	1	0	2, -1, 3, 0		2	2	2	7	0.2222222222222222	0.25	1.375	0.15384615384615385
18	18	0	0	4/4	3	2	ii(#7)				c	I		ii(#7)		ii			#7				m	1	0	2, -1, 3	7	2	2	2	5	0.2857142857142857	0.25	2.75	0.08333333333333333
