mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	3	2		d.i{		d	i		i		i						{	m	1	1	0, -3, 1		0	0
4	4	0	0	4/4	3	1		VI		d	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
5	5	0	0	4/4	3	1		i6		d	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
6	6	0	0	4/4	3	1		i7		d	i		i7		i		7					mm7	1	1	0, -3, 1, -2		0	0
7	7	0	0	4/4	3	1		VI		d	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
7	7	1/2	1/2	4/4	3	1		i43		d	i		i43		i		43					mm7	1	1	1, -2, 0, -3		0	1
9	9	0	0	4/4	3	2		vii6		d	i		vii6		vii		6					m	1	1	-5, -1, -2		-2	-5
9	9	1/2	1/2	4/4	3	2		i		d	i		i		i							m	1	1	0, -3, 1		0	0
10	10	0	0	4/4	3	1		vii		d	i		vii		vii							m	1	1	-2, -5, -1		-2	-2
11	11	0	0	4/4	3	1		Ger65/vii		d	i		Ger65/vii	Ger	vii	o	65	b3	V/vii			Ger	1	1	-6, -2, -5, 4		4	-6
11	11	1/2	1/2	4/4	3	1		vii64		d	i		vii64		vii		64					m	1	1	-1, -2, -5		-2	-1
12	12	0	0	4/4	3	2		V7/bIV		d	i		V7/bIV		V		7		bIV			Mm7	1	1	-7, -3, -6, -9		-7	-7
14	14	0	0	4/4	3	3		V7/VI		d	i		V7/VI		V		7		VI			Mm7	1	1	-3, 1, -2, -5		-3	-3
14	14	1/2	1/2	4/4	3	3		VI		d	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
14	14	3/4	3/4	4/4	3	3		It6/III		d	i		It6/III	It	vii	o	6	b3	V/III			It	1	1	-7, -3, 3		3	-7
15	15	0	0	4/4	3	1		i		d	i		i		i							m	1	1	0, -3, 1		0	0
16	16	0	0	4/4	3	1		VI		d	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
