mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	7.0	0	3/4	2/2	3	1	Eb.I{	Eb	I		I	I						{	M	0	0	0, 4, 1		0	0
3	2	7	2.0	1/2	1/2	2/2	3	2	IV	Eb	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
4	3	9	12.0	0	0	2/2	3	2	V7(b9)	Eb	I		V7(b9)	V		7	b9				Mm7	0	0	1, 5, 2, -1	-4	1	1
7	6	21	8.0	0	0	2/2	3	2	i|IAC}{	Eb	I		i	i					IAC	}{	m	0	0	0, -3, 1		0	0
9	8	29	10.0	0	0	3/2	3	2	V7	Eb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
11	10	39	6.0	0	0	2/2	3	1	i	Eb	I		i	i							m	0	0	0, -3, 1		0	0
12	11	45	2.0	1/2	1/2	2/2	3	1	iio6	Eb	I		iio6	ii	o	6					o	0	0	-1, -4, 2		2	-1
13	12	47	4.0	0	0	2/2	3	2	V7/bIII	Eb	I		V7/bIII	V		7		bIII			Mm7	0	0	-2, 2, -1, -4		-2	-2
14	13	51	10.0	0	0	2/2	3	1	bIII|IAC}	Eb	I		bIII	bIII					IAC	}	M	0	0	-3, 1, -2		-3	-3
16	15	61	6.0	0	0	2/2	3	1	V[V7(94){	Eb	I	V	V7(94)	V		7	94			{	Mm7	0	0	1, 0, 2, -1	3	1	1
17	16	67	2.0	1/2	1/2	2/2	3	1	I64	Eb	I	V	I64	I		64					M	0	0	1, 0, 4		0	1
18	17	69	4.0	0	0	2/2	3	1	viio2/V	Eb	I	V	viio2/V	vii	o	2		V			o7	0	0	-3, 6, 3, 0		6	-3
19	18	73	4.0	0	0	2/2	3	1	V7(9)]	Eb	I	V	V7(9)	V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
20	19	77	6.0	0	0	2/2	3	1	I	Eb	I		I	I							M	0	0	0, 4, 1		0	0
