mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	2.0	0	0	4/4	3	2	c.i{	c	i		i		i						{	m	1	1	0, -3, 1		0	0
1	1	2	4.0	1/2	1/2	4/4	3	2	V	c	i		V		V							M	1	1	1, 5, 2		1	1
2	2	6	2.0	1/2	1/2	4/4	3	2	i64	c	i		i64		i		64					m	1	1	1, 0, -3		0	1
3	3	8	1.0	0	0	4/4	3	2	i6	c	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
3	3	9	3.0	1/4	1/4	4/4	3	2	iv64	c	i		iv64		iv		64					m	1	1	0, -1, -4		-1	0
4	4	12	2.0	0	0	4/4	3	2	i	c	i		i		i							m	1	1	0, -3, 1		0	0
4	4	14	2.0	1/2	1/2	4/4	3	1	V7	c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
5	5	16	2.0	0	0	4/4	3	2	i	c	i		i		i							m	1	1	0, -3, 1		0	0
5	5	18	2.0	1/2	1/2	4/4	3	2	V	c	i		V		V							M	1	1	1, 5, 2		1	1
6	6	20	2.0	0	0	4/4	3	1	V7/VI	c	i		V7/VI		V		7		VI			Mm7	1	1	-3, 1, -2, -5		-3	-3
6	6	22	2.0	1/2	1/2	4/4	3	1	VI	c	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
7	7	24	2.0	0	0	4/4	3	2	V7/V	c	i		V7/V		V		7		V			Mm7	1	1	2, 6, 3, 0		2	2
7	7	26	2.0	1/2	1/2	4/4	3	2	V|HC}	c	i		V		V					HC	}	M	1	1	1, 5, 2		1	1
8	8	28	2.0	0	0	3/2	3	2	i{	c	i		i		i						{	m	1	1	0, -3, 1		0	0
8	8	30	4.0	1/2	1/2	3/2	3	2	V	c	i		V		V							M	1	1	1, 5, 2		1	1
9	9	34	2.0	0	0	3/2	3	2	i	c	i		i		i							m	1	1	0, -3, 1		0	0
9	9	36	5.0	1/2	1/2	3/2	3	2	V	c	i		V		V							M	1	1	1, 5, 2		1	1
10	10	41	1.0	1/4	1/4	4/4	3	1	i	c	i		i		i							m	1	1	0, -3, 1		0	0
10	10	42	1.0	1/2	1/2	4/4	3	1	VI	c	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
10	10	43	1.0	3/4	3/4	4/4	3	1	iv	c	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
11	11	44	2.0	0	0	4/4	3	1	i	c	i		i		i							m	1	1	0, -3, 1		0	0
11	11	46	2.0	1/2	1/2	4/4	3	1	V7	c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
12	12	48	2.0	0	0	4/4	3	1	i	c	i		i		i							m	1	1	0, -3, 1		0	0
12	12	50	2.0	1/2	1/2	4/4	3	1	V7	c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
13	13	52	2.0	0	0	4/4	3	1	i	c	i		i		i							m	1	1	0, -3, 1		0	0
13	13	54	2.0	1/2	1/2	4/4	3	1	V7	c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
14	14	56	2.0	0	0	4/4	3	1	i	c	i		i		i							m	1	1	0, -3, 1		0	0
14	14	58	2.0	1/2	1/2	4/4	3	1	iv	c	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
15	15	60	0.0	0	0	4/4	3	1	V(64)	c	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
15	15	60	4.0	0	0	4/4	3	1	V|HC}	c	i		V		V					HC	}	M	1	1	1, 5, 2		1	1
16	16	64	2.0	0	0	3/2	3	1	V7/VI{	c	i		V7/VI		V		7		VI		{	Mm7	1	1	-3, 1, -2, -5		-3	-3
16	16	66	2.0	1/2	1/2	3/2	3	1	VI	c	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
16	16	68	2.0	1	1	3/2	3	1	V/v	c	i		V/v		V				v			M	1	1	2, 6, 3		2	2
17	17	70	2.0	0	0	3/2	3	1	v	c	i		v		v							m	1	1	1, -2, 2		1	1
17	17	72	4.0	1/2	1/2	3/2	3	1	v/v	c	i		v/v		v				v			m	1	1	2, -1, 3		2	2
18	18	76	2.0	0	0	3/2	3	1	v	c	i		v		v							m	1	1	1, -2, 2		1	1
18	18	78	4.0	1/2	1/2	3/2	3	1	v/v	c	i		v/v		v				v			m	1	1	2, -1, 3		2	2
19	19	82	2.0	0	0	3/2	3	2	v	c	i		v		v							m	1	1	1, -2, 2		1	1
19	19	84	4.0	1/2	1/2	3/2	3	1	V7	c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
20	20	88	6.0	0	0	3/2	3	2	VI[VI|DC	c	i	VI	VI		VI					DC		M	1	1	-4, 0, -3		-4	-4
21	21	94	6.0	0	0	3/2	3	2	IV64/VI	c	i	VI	IV64/VI		IV		64		VI			M	1	1	-4, -5, -1		-5	-4
22	22	100	6.0	0	0	3/2	3	1	viio7/VI	c	i	VI	viio7/VI		vii	o	7		VI			o7	1	1	1, -2, -5, -8		1	1
23	23	106	6.0	0	0	3/2	3	2	VI]	c	i	VI	VI		VI							M	1	1	-4, 0, -3		-4	-4
24	24	112	4.0	0	0	3/2	3	2	V43/iv	c	i		V43/iv		V		43		iv			Mm7	1	1	1, -2, 0, 4		0	1
24	24	116	2.0	1	1	3/2	3	2	ii65/VI	c	i		ii65/VI		ii		65		VI			mm7	1	1	-5, -1, -4, -2		-2	-5
25	25	118	4.0	0	0	3/2	3	2	V7/VII	c	i		V7/VII		V		7		VII			Mm7	1	1	-1, 3, 0, -3		-1	-1
25	25	122	2.0	1	1	3/2	3	2	bVI/VII	c	i		bVI/VII		bVI				VII			M	1	1	-6, -2, -5		-6	-6
26	26	124	6.0	0	0	3/2	3	2	V65/VI	c	i		V65/VI		V		65		VI			Mm7	1	1	1, -2, -5, -3		-3	1
27	27	130	11.0	0	0	4/4	3	1	V7	c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
29	29	141	1.0	3/4	3/4	3/2	3	1	Ger7	c	i		Ger7	Ger	vii	o	7	b3	V			Ger	1	1	6, -4, 0, -3		6	6
29	29	142	2.0	1	1	3/2	3	1	bII6	c	i		bII6		bII		6					M	1	1	-1, -4, -5		-5	-1
30	30	144	4.0	0	0	3/2	3	1	V(64)	c	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
30	30	148	2.0	1	1	3/2	3	1	V	c	i		V		V							M	1	1	1, 5, 2		1	1
31	31	150	4.0	0	0	3/2	3	1	i6	c	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
31	31	154	2.0	1	1	3/2	3	1	iv6	c	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
32	32	156	2.0	0	0	3/2	3	2	iv	c	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
32	32	158	4.0	1/2	1/2	3/2	3	2	V7	c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
33	33	162	2.0	0	0	4/4	3	3	i|PAC}{	c	i		i		i					PAC	}{	m	1	1	0, -3, 1		0	0
33	33	164	2.0	1/2	1/2	4/4	3	1	V	c	i		V		V							M	1	1	1, 5, 2		1	1
34	34	166	2.0	0	0	4/4	3	2	i	c	i		i		i							m	1	1	0, -3, 1		0	0
34	34	168	2.0	1/2	1/2	4/4	3	2	V	c	i		V		V							M	1	1	1, 5, 2		1	1
35	35	170	2.0	0	0	4/4	3	2	i	c	i		i		i							m	1	1	0, -3, 1		0	0
35	35	172	2.0	1/2	1/2	4/4	3	2	iv	c	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
36	36	174	2.0	0	0	4/4	3	1	i	c	i		i		i							m	1	1	0, -3, 1		0	0
36	36	176	2.0	1/2	1/2	4/4	3	1	V7	c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
37	37	178	2.0	0	0	4/4	3	1	i	c	i		i		i							m	1	1	0, -3, 1		0	0
37	37	180	2.0	1/2	1/2	4/4	3	1	V	c	i		V		V							M	1	1	1, 5, 2		1	1
38	38	182	2.0	0	0	4/4	3	1	V7/VI	c	i		V7/VI		V		7		VI			Mm7	1	1	-3, 1, -2, -5		-3	-3
38	38	184	2.0	1/2	1/2	4/4	3	1	VI	c	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
39	39	186	2.0	0	0	4/4	3	2	V7/V	c	i		V7/V		V		7		V			Mm7	1	1	2, 6, 3, 0		2	2
39	39	188	2.0	1/2	1/2	4/4	3	2	V|HC}	c	i		V		V					HC	}	M	1	1	1, 5, 2		1	1
