mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	1.0	0	3/4	4/4	3	1	d.VII{	d	i		VII	VII						{	M	1	1	-2, 2, -1		-2	-2
2	1	1	1	2.0	0	0	4/4	3	1	#viio2/v	d	i		#viio2/v	#vii	o	2		v			o7	1	1	-3, 6, 3, 0		6	-3
2	1	3	3	1.0	1/2	1/2	4/4	3	1	v64	d	i		v64	v		64					m	1	1	2, 1, -2		1	2
2	1	4	4	1.0	3/4	3/4	4/4	3	1	viio6/VII	d	i		viio6/VII	vii	o	6		VII			o	1	1	0, -3, 3		3	0
3	2	5	5	2.0	0	0	4/4	3	1	#viio2/iv	d	i		#viio2/iv	#vii	o	2		iv			o7	1	1	-5, 4, 1, -2		4	-5
3	2	7	7	1.0	1/2	1/2	4/4	3	1	iv64	d	i		iv64	iv		64					m	1	1	0, -1, -4		-1	0
3	2	8	8	1.0	3/4	3/4	4/4	3	1	iv6	d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
4	3	9	9	1.0	0	0	4/4	3	1	V	d	i		V	V							M	1	1	1, 5, 2		1	1
4	3	10	10	1.0	1/4	1/4	4/4	3	1	i	d	i		i	i							m	1	1	0, -3, 1		0	0
4	3	11	11	2.0	1/2	1/2	4/4	3	1	iv	d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
5	4	13	13	4.0	0	0	4/4	3	1	i	d	i		i	i							m	1	1	0, -3, 1		0	0
6	5	17	17	3.0	0	0	4/4	3	1	i(6)	d	i		i(6)	i			6				m	1	1	0, -3, -4		0	0
6	5	20	20	1.0	3/4	3/4	4/4	3	1	i	d	i		i	i							m	1	1	0, -3, 1		0	0
7	6	21	21	3.0	0	0	4/4	3	1	i(4)	d	i		i(4)	i			4				m	1	1	0, -1, 1		0	0
7	6	24	24	1.0	3/4	3/4	4/4	3	1	i	d	i		i	i							m	1	1	0, -3, 1		0	0
8	7	25	25	2.0	0	0	4/4	3	1	VI(^4)	d	i		VI(^4)	VI			^4				M	1	1	-4, 0, 2		-4	-4
8	7	27	27	2.0	1/2	1/2	4/4	3	1	VI	d	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
9	8	29	29	11.0	0	0	4/4	3	2	ii%65	d	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
11	10	40	40	1.0	3/4	3/4	4/4	3	1	V65/V	d	i		V65/V	V		65		V			Mm7	1	1	6, 3, 0, 2		2	6
12	11	41	41	2.0	0	0	4/4	3	1	V[i	d	i	V	i	i							m	1	1	0, -3, 1		0	0
12	11	43	43	2.0	1/2	1/2	4/4	3	1	I	d	i	V	I	I							M	1	1	0, 4, 1		0	0
13	12	45	45	1.0	0	0	4/4	3	1	V7(#6#4)	d	i	V	V7(#6#4)	V		7	#6#4				Mm7	1	1	1, 5, 7, 4		1	1
13	12	46	46	3.0	1/4	1/4	4/4	3	1	V7	d	i	V	V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
14	13	49	49	1.0	0	0	4/4	3	1	V7(^8#6)	d	i	V	V7(^8#6)	V		7	^8#6				Mm7	1	1	1, 5, 2, 4		1	1
14	13	50	50	3.0	1/4	1/4	4/4	3	1	V7(9)	d	i	V	V7(9)	V		7	9				Mm7	1	1	1, 5, 2, -1	-4	1	1
15	14	53	53	2.0	0	0	4/4	3	1	V(64)/I	d	i	V	V(64)/I	V			64	I			M	1	1	1, 0, 4		1	1
15	14	55	55	2.0	1/2	1/2	4/4	3	1	V7/I]	d	i	V	V7/I	V		7		I			Mm7	1	1	1, 5, 2, -1		1	1
16	15	57	57	1.0	0	0	4/4	3	2	I(94)	d	i		I(94)	I			94				M	1	1	0, -1, 1	2	0	0
16	15	58	58	3.0	1/4	1/4	4/4	3	2	I|PAC}	d	i		I	I					PAC	}	M	1	1	0, 4, 1		0	0
16	15	60	60	0.0	3/4	3/4	4/4	3	2	{	d	i									{		1	1				
17	16	61	61	0.0	0	0	4/4	3	1	V65(9#6)	d	i		V65(9#6)	V		65	9#6				Mm7	1	1	5, 2, 4, 1	-4	1	5
17	16	61	61	1.5	0	0	4/4	3	2	V65(9)	d	i		V65(9)	V		65	9				Mm7	1	1	5, 2, -1, 1	-4	1	5
17	16	125/2	125/2	2.0	3/8	3/8	4/4	3	2	V7(9)	d	i		V7(9)	V		7	9				Mm7	1	1	1, 5, 2, -1	-4	1	1
17	16	129/2	129/2	4.5	7/8	7/8	4/4	3	2	V7	d	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
19	18	69	69	0.0	0	0	4/4	3	1	i(4)	d	i		i(4)	i			4				m	1	1	0, -1, 1		0	0
19	18	69	69	3.0	0	0	4/4	3	1	i	d	i		i	i							m	1	1	0, -3, 1		0	0
19	18	72	72	1.0	3/4	3/4	4/4	3	1	bII6	d	i		bII6	bII		6					M	1	1	-1, -4, -5		-5	-1
20	19	73	73	2.0	0	0	4/4	3	2	V[i6	d	i	V	i6	i		6					m	1	1	-3, 1, 0		0	-3
20	19	75	75	1.0	1/2	1/2	4/4	3	2	iv	d	i	V	iv	iv							m	1	1	-1, -4, 0		-1	-1
20	19	76	76	1.0	3/4	3/4	4/4	3	2	V6/V]	d	i	V	V6/V	V		6		V			M	1	1	6, 3, 2		2	6
21	20	77	77	7.0	0	0	4/4	3	2	i	d	i		i	i							m	1	1	0, -3, 1		0	0
22	21	84	84	1.0	3/4	3/4	4/4	3	2	i(+6)	d	i		i(+6)	i			+6				m	1	1	0, -3, 1	-4	0	0
23	22	85	85	2.0	0	0	4/4	3	1	#viio2/iv	d	i		#viio2/iv	#vii	o	2		iv			o7	1	1	-5, 4, 1, -2		4	-5
23	22	87	87	1.0	1/2	1/2	4/4	3	1	iv64	d	i		iv64	iv		64					m	1	1	0, -1, -4		-1	0
23	22	88	88	1.0	3/4	3/4	4/4	3	1	iv6	d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
