mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	12.0	0	0	4/4	3	2	d.i{		d	i		i		i						{	m	1	1	0, -3, 1		0	0
4	4	12	12	4.0	0	0	4/4	3	1	VI		d	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
5	5	16	16	4.0	0	0	4/4	3	1	i6		d	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
6	6	20	20	4.0	0	0	4/4	3	1	i7		d	i		i7		i		7					mm7	1	1	0, -3, 1, -2		0	0
7	7	24	24	2.0	0	0	4/4	3	1	VI		d	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
7	7	26	26	6.0	1/2	1/2	4/4	3	1	i43		d	i		i43		i		43					mm7	1	1	1, -2, 0, -3		0	1
9	9	32	32	2.0	0	0	4/4	3	2	vii6		d	i		vii6		vii		6					m	1	1	-5, -1, -2		-2	-5
9	9	34	34	2.0	1/2	1/2	4/4	3	2	i		d	i		i		i							m	1	1	0, -3, 1		0	0
10	10	36	36	4.0	0	0	4/4	3	1	vii		d	i		vii		vii							m	1	1	-2, -5, -1		-2	-2
11	11	40	40	2.0	0	0	4/4	3	1	Ger65/vii		d	i		Ger65/vii	Ger	vii	o	65	b3	V/vii			Ger	1	1	-6, -2, -5, 4		4	-6
11	11	42	42	2.0	1/2	1/2	4/4	3	1	vii64		d	i		vii64		vii		64					m	1	1	-1, -2, -5		-2	-1
12	12	44	44	8.0	0	0	4/4	3	2	V7/bIV		d	i		V7/bIV		V		7		bIV			Mm7	1	1	-7, -3, -6, -9		-7	-7
14	14	52	52	2.0	0	0	4/4	3	3	V7/VI		d	i		V7/VI		V		7		VI			Mm7	1	1	-3, 1, -2, -5		-3	-3
14	14	54	54	1.0	1/2	1/2	4/4	3	3	VI		d	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
14	14	55	55	1.0	3/4	3/4	4/4	3	3	It6/III		d	i		It6/III	It	vii	o	6	b3	V/III			It	1	1	-7, -3, 3		3	-7
15	15	56	56	4.0	0	0	4/4	3	1	i		d	i		i		i							m	1	1	0, -3, 1		0	0
16	16	60	60	3.0	0	0	4/4	3	1	VI		d	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
16	16	63	63	1.0	3/4	3/4	4/4	3	1	V2(+4)		d	i		V2(+4)		V		2	+4				Mm7	1	1	-1, 1, 5, 2	0	1	-1
17	17	64	64	2.0	0	0	4/4	3	2	i6(#7)	III+	d	i		i6(#7)		i		6	#7				m	1	1	-3, 1, 5		0	-3
17	17	66	66	1.0	1/2	1/2	4/4	3	2	ii%7		d	i		ii%7		ii	%	7					%7	1	1	2, -1, -4, 0		2	2
17	17	67	67	1.0	3/4	3/4	4/4	3	2	Fr2/IV		d	i		Fr2/IV	Fr	V		2	b5	V/IV			Fr	1	1	-1, 1, 5, -5		1	-1
18	18	68	68	4.0	0	0	4/4	3	2	i		d	i		i		i							m	1	1	0, -3, 1		0	0
19	19	72	72	2.0	0	0	4/4	3	2	VI6		d	i		VI6		VI		6					M	1	1	0, -3, -4		-4	0
19	19	74	74	2.0	1/2	1/2	4/4	3	2	iii		d	i		iii		iii							m	1	1	-3, -6, -2		-3	-3
20	20	76	76	2.0	0	0	4/4	3	1	ii65		d	i		ii65		ii		65					mm7	1	1	-1, 3, 0, 2		2	-1
20	20	78	78	2.0	1/2	1/2	4/4	3	1	V(+4)		d	i		V(+4)		V			+4				M	1	1	1, 5, 2	0	1	1
21	21	80	80	2.0	0	0	4/4	3	1	i7		d	i		i7		i		7					mm7	1	1	0, -3, 1, -2		0	0
21	21	82	82	4.0	1/2	1/2	4/4	3	1	ii65		d	i		ii65		ii		65					mm7	1	1	-1, 3, 0, 2		2	-1
22	22	86	86	2.0	1/2	1/2	4/4	3	1	V(94)		d	i		V(94)		V			94				M	1	1	1, 0, 2	-4	1	1
23	23	88	88	6.0	0	0	4/4	3	1	Fr65		d	i		Fr65	Fr	V		65	b5	V			Fr	1	1	6, -4, 0, 2		2	6
24	24	94	94	4.0	1/2	1/2	4/4	3	2	V(94)		d	i		V(94)		V			94				M	1	1	1, 0, 2	-4	1	1
25	25	98	98	6.0	1/2	1/2	4/4	3	2	ii%2		d	i		ii%2		ii	%	2					%7	1	1	0, 2, -1, -4		2	0
27	27	104	104	8.0	0	0	4/4	3	2	viio43/V		d	i		viio43/V		vii	o	43		V			o7	1	1	0, -3, 6, 3		6	0
29	29	112	112	2.0	0	0	4/4	3	2	VI		d	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
29	29	114	114	2.0	1/2	1/2	4/4	3	1	Fr65/vii		d	i		Fr65/vii	Fr	V		65	b5	V/vii			Fr	1	1	4, -6, -2, 0		0	4
30	30	116	116	4.0	0	0	4/4	3	1	V7/V		d	i		V7/V		V		7		V			Mm7	1	1	2, 6, 3, 0		2	2
31	31	120	120	8.0	0	0	4/4	3	2	V(4)|HC}		d	i		V(4)		V			4		HC	}	M	1	1	1, 0, 2		1	1
33	33	128	128	8.0	0	0	4/4	3	2	iv64{		d	i		iv64		iv		64				{	m	1	1	0, -1, -4		-1	0
35	35	136	136	2.0	0	0	4/4	3	1	iv		d	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
35	35	138	138	2.0	1/2	1/2	4/4	3	1	III+6		d	i		III+6		III	+	6					+	1	1	1, 5, -3		-3	1
36	36	140	140	6.0	0	0	4/4	3	1	i7		d	i		i7		i		7					mm7	1	1	0, -3, 1, -2		0	0
37	37	146	146	2.0	1/2	1/2	4/4	3	1	VI.V(+b6)/ii		d	VI		V(+b6)/ii		V			+b6	ii			M	1	0	3, 7, 4	-8	3	3
38	38	148	148	2.0	0	0	4/4	3	1	viio2		d	VI		viio2		vii	o	2					o7	1	0	-4, 5, 2, -1		5	-4
38	38	150	150	2.0	1/2	1/2	4/4	3	1	viio6/IV		d	VI		viio6/IV		vii	o	6		IV			o	1	0	1, -2, 4		4	1
39	39	152	152	2.0	0	0	4/4	3	2	bII64		d	VI		bII64		bII		64					M	1	0	-4, -5, -1		-5	-4
39	39	154	154	2.0	1/2	1/2	4/4	3	1	bVI+		d	VI		bVI+		bVI	+						+	1	0	-4, 0, 4		-4	-4
40	40	156	156	2.0	0	0	4/4	3	1	V7/bIII		d	VI		V7/bIII		V		7		bIII			Mm7	1	0	-2, 2, -1, -4		-2	-2
