mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	3	2		c.i{	c	i		i		i						{	m	1	1	0, -3, 1		0	0
1	1	1/2	1/2	4/4	3	2		V	c	i		V		V							M	1	1	1, 5, 2		1	1
2	2	1/2	1/2	4/4	3	2		i64	c	i		i64		i		64					m	1	1	1, 0, -3		0	1
3	3	0	0	4/4	3	2		i6	c	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
3	3	1/4	1/4	4/4	3	2		iv64	c	i		iv64		iv		64					m	1	1	0, -1, -4		-1	0
4	4	0	0	4/4	3	2		i	c	i		i		i							m	1	1	0, -3, 1		0	0
4	4	1/2	1/2	4/4	3	1		V7	c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
5	5	0	0	4/4	3	2		i	c	i		i		i							m	1	1	0, -3, 1		0	0
5	5	1/2	1/2	4/4	3	2		V	c	i		V		V							M	1	1	1, 5, 2		1	1
6	6	0	0	4/4	3	1		V7/VI	c	i		V7/VI		V		7		VI			Mm7	1	1	-3, 1, -2, -5		-3	-3
6	6	1/2	1/2	4/4	3	1		VI	c	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
7	7	0	0	4/4	3	2		V7/V	c	i		V7/V		V		7		V			Mm7	1	1	2, 6, 3, 0		2	2
7	7	1/2	1/2	4/4	3	2		V|HC}	c	i		V		V					HC	}	M	1	1	1, 5, 2		1	1
8	8	0	0	3/2	3	2		i{	c	i		i		i						{	m	1	1	0, -3, 1		0	0
8	8	1/2	1/2	3/2	3	2		V	c	i		V		V							M	1	1	1, 5, 2		1	1
9	9	0	0	3/2	3	2		i	c	i		i		i							m	1	1	0, -3, 1		0	0
9	9	1/2	1/2	3/2	3	2		V	c	i		V		V							M	1	1	1, 5, 2		1	1
10	10	1/4	1/4	4/4	3	1		i	c	i		i		i							m	1	1	0, -3, 1		0	0
10	10	1/2	1/2	4/4	3	1		VI	c	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
10	10	3/4	3/4	4/4	3	1		iv	c	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
11	11	0	0	4/4	3	1		i	c	i		i		i							m	1	1	0, -3, 1		0	0
11	11	1/2	1/2	4/4	3	1		V7	c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
12	12	0	0	4/4	3	1		i	c	i		i		i							m	1	1	0, -3, 1		0	0
12	12	1/2	1/2	4/4	3	1		V7	c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
13	13	0	0	4/4	3	1		i	c	i		i		i							m	1	1	0, -3, 1		0	0
13	13	1/2	1/2	4/4	3	1		V7	c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
14	14	0	0	4/4	3	1		i	c	i		i		i							m	1	1	0, -3, 1		0	0
14	14	1/2	1/2	4/4	3	1		iv	c	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
15	15	0	0	4/4	3	1		V(64)	c	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
15	15	0	0	4/4	3	1		V|HC}	c	i		V		V					HC	}	M	1	1	1, 5, 2		1	1
16	16	0	0	3/2	3	1		V7/VI{	c	i		V7/VI		V		7		VI		{	Mm7	1	1	-3, 1, -2, -5		-3	-3
16	16	1/2	1/2	3/2	3	1		VI	c	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
16	16	1	1	3/2	3	1		V/v	c	i		V/v		V				v			M	1	1	2, 6, 3		2	2
17	17	0	0	3/2	3	1		v	c	i		v		v							m	1	1	1, -2, 2		1	1
17	17	1/2	1/2	3/2	3	1		v/v	c	i		v/v		v				v			m	1	1	2, -1, 3		2	2
18	18	0	0	3/2	3	1		v	c	i		v		v							m	1	1	1, -2, 2		1	1
18	18	1/2	1/2	3/2	3	1		v/v	c	i		v/v		v				v			m	1	1	2, -1, 3		2	2
19	19	0	0	3/2	3	2		v	c	i		v		v							m	1	1	1, -2, 2		1	1
19	19	1/2	1/2	3/2	3	1		V7	c	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
20	20	0	0	3/2	3	2		VI[VI|DC	c	i	VI	VI		VI					DC		M	1	1	-4, 0, -3		-4	-4
21	21	0	0	3/2	3	2		IV64/VI	c	i	VI	IV64/VI		IV		64		VI			M	1	1	-4, -5, -1		-5	-4
