mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	1.0	-3	2/2	1/4	3/4		1			firstMeasure	2
2	1	1	4.0	-3	2/2	1	0						3
3	2	5	4.0	-3	2/2	1	0						4
4	3	9	4.0	-3	2/2	1	0				line		5
5	4	13	4.0	-3	2/2	1	0						6
6	5	17	4.0	-3	2/2	1	0						7
7	6	21	4.0	-3	2/2	1	0						8
8	7	25	4.0	-3	2/2	1	0				line		9
9	8	29	6.0	-3	3/2	3/2	0						10
10	9	35	4.0	-3	2/2	1	0						11
11	10	39	4.0	-3	2/2	1	0						12
12	11	43	4.0	-3	2/2	1	0				page		13
13	12	47	4.0	-3	2/2	1	0						14
14	13	51	4.0	-3	2/2	1	0						15
15	14	55	6.0	-3	3/2	3/2	0				line		16
16	15	61	4.0	-3	2/2	1	0						17
17	16	65	4.0	-3	2/2	1	0						18
18	17	69	4.0	-3	2/2	1	0						19
19	18	73	4.0	-3	2/2	1	0				line		20
20	19	77	4.0	-3	2/2	1	0						21
21	20	81	4.0	-3	2/2	1	0						22
22	21	85	4.0	-3	2/2	1	0						23
23	22	89	4.0	-3	2/2	1	0				line		24
24	23	93	4.0	-3	2/2	1	0						25
25	24	97	4.0	-3	2/2	1	0						26
26	25	101	4.0	-3	2/2	1	0						27
27	26	105	6.0	-3	3/2	3/2	0				page		28
28	27	111	4.0	-3	2/2	1	0						29
29	28	115	4.0	-3	2/2	1	0						30
30	29	119	4.0	-3	2/2	1	0				line		31
31	30	123	4.0	-3	2/2	1	0						32
32	31	127	4.0	-3	2/2	1	0						33
33	32	131	4.0	-3	2/2	1	0						34
34	33	135	4.0	-3	2/2	1	0				line		35
35	34	139	4.0	-3	2/2	1	0						36
36	35	143	6.0	-3	3/2	3/2	0						37
37	36	149	4.0	-3	2/2	1	0						38
38	37	153	4.0	-3	2/2	1	0				line		39
39	38	157	4.0	-3	2/2	1	0						40
40	39	161	4.0	-3	2/2	1	0						41
41	40	165	4.0	-3	2/2	1	0						42
42	41	169	4.0	-3	2/2	1	0				page		43
43	42	173	4.0	-3	2/2	1	0						44
44	43	177	4.0	-3	2/2	1	0						45
45	44	181	4.0	-3	2/2	1	0						46
46	45	185	4.0	-3	2/2	1	0				line		47
47	46	189	4.0	-3	2/2	1	0						48
48	47	193	4.0	-3	2/2	1	0						49
49	48	197	4.0	-3	2/2	1	0				line		50
50	49	201	4.0	-3	2/2	1	0						51
51	50	205	4.0	-3	2/2	1	0						52
52	51	209	4.0	-3	2/2	1	0						53
53	52	213	4.0	-3	2/2	1	0				line		54
54	53	217	6.0	-3	3/2	3/2	0						55
55	54	223	4.0	-3	2/2	1	0						56
56	55	227	4.0	-3	2/2	1	0				page		57
57	56	231	4.0	-3	2/2	1	0						58
58	57	235	4.0	-3	2/2	1	0						59
59	58	239	6.0	-3	3/2	3/2	0						60
60	59	245	4.0	-3	2/2	1	0				line		61
61	60	249	4.0	-3	2/2	1	0						62
62	61	253	4.0	-3	2/2	1	0						63
63	62	257	4.0	-3	2/2	1	0						64
64	63	261	4.0	-3	2/2	1	0				line		65
65	64	265	4.0	-3	2/2	1	0						66
66	65	269	4.0	-3	2/2	1	0						67
67	66	273	4.0	-3	2/2	1	0						68
68	67	277	4.0	-3	2/2	1	0				line		69
69	68	281	4.0	-3	2/2	1	0						70
70	69	285	4.0	-3	2/2	1	0						71
71	70	289	4.0	-3	2/2	1	0						72
72	71	293	4.0	-3	2/2	1	0			end	page	lastMeasure	-1
