mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	-1	4/4	1	0						firstMeasure	2
2	2	-1	4/4	1	0							3
3	3	-1	4/4	1	0					line		4
4	4	-1	4/4	1	0							5
5	5	-1	4/4	1	0							6
6	6	-1	4/4	1	0							7
7	7	-1	4/4	1	0					line		8
8	8	-1	4/4	1	0							9
9	9	-1	4/4	1	0							10
10	10	-1	4/4	1	0							11
11	11	-1	4/4	1	0					line		12
12	12	-1	4/4	1	0							13
13	13	-1	4/4	1	0							14
14	14	-1	4/4	1	0							15
15	15	-1	4/4	1	0					line		16
16	16	-1	4/4	1	0							17
17	17	-1	4/4	1	0							18
18	18	-1	4/4	1	0					line		19
19	19	-1	4/4	1	0							20
20	20	-1	4/4	1	0							21
21	21	-1	4/4	1	0							22
22	22	-1	4/4	1	0					line		23
23	23	-1	4/4	1	0							24
24	24	-1	4/4	1	0							25
25	25	-1	4/4	1	0							26
26	26	-1	4/4	1	0					page		27
27	27	-1	4/4	1	0							28
28	28	-1	4/4	1	0							29
29	29	-1	4/4	1	0							30
30	30	-1	4/4	1	0					line		31
31	31	-1	4/4	1	0							32
32	32	-1	4/4	1	0							33
33	33	-1	4/4	1	0							34
34	34	-1	4/4	1	0					line		35
35	35	-1	4/4	1	0							36
36	36	-1	4/4	1	0							37
37	37	-1	4/4	1	0							38
38	38	-1	4/4	1	0					line		39
39	39	-1	4/4	1	0							40
40	40	-1	4/4	1	0							41
41	41	-1	4/4	1	0							42
42	42	-1	4/4	1	0					page		43
43	43	-1	4/4	1	0							44
44	44	-1	4/4	1	0							45
45	45	-1	4/4	1	0					line		46
46	46	-1	4/4	1	0							47
47	47	-1	4/4	1	0							48
48	48	-1	4/4	1	0							49
49	49	-1	4/4	1	0					line		50
50	50	-1	4/4	1	0							51
51	51	-1	4/4	1	0							52
52	52	-1	4/4	1	0							53
53	53	-1	4/4	1	0					line		54
54	54	-1	4/4	1	0							55
55	55	-1	4/4	1	0							56
56	56	-1	4/4	1	0							57
57	57	-1	4/4	1	0					page		58
58	58	-1	4/4	1	0							59
59	59	-1	4/4	1	0							60
60	60	-1	4/4	1	0							61
61	61	-1	4/4	1	0					line		62
62	62	-1	4/4	1	0							63
63	63	-1	4/4	1	0							64
64	64	-1	4/4	1	0							65
65	65	-1	4/4	1	0					line		66
66	66	-1	4/4	1	0							67
67	67	-1	4/4	1	0							68
68	68	-1	4/4	1	0							69
69	69	-1	4/4	1	0					line		70
70	70	-1	4/4	1	0							71
71	71	-1	4/4	1	0							72
72	72	-1	4/4	1	0							73
73	73	-1	4/4	1	0					page		74
74	74	-1	4/4	1	0							75
75	75	-1	4/4	1	0							76
76	76	-1	4/4	1	0					line		77
77	77	-1	4/4	1	0							78
78	78	-1	4/4	1	0							79
79	79	-1	4/4	1	0							80
80	80	-1	4/4	1	0					line		81
81	81	-1	4/4	1	0							82
82	82	-1	4/4	1	0							83
83	83	-1	4/4	1	0							84
84	84	-1	4/4	1	0					line		85
85	85	-1	4/4	1	0							86
86	86	-1	4/4	1	0							87
87	87	-1	4/4	1	0							88
88	88	-1	4/4	1	0					page		89
89	89	-1	4/4	1	0							90
90	90	-1	4/4	1	0							91
91	91	-1	4/4	1	0							92
92	92	-1	4/4	1	0					line		93
93	93	-1	4/4	1	0							94
94	94	-1	4/4	1	0							95
95	95	-1	4/4	1	0							96
96	96	-1	4/4	1	0							97
97	97	-1	4/4	1	0					line		98
98	98	-1	4/4	1	0				double			99
99	99	2	4/4	1	0							100
100	100	2	4/4	1	0							101
101	101	2	4/4	1	0					line		102
102	102	2	4/4	1	0							103
103	103	2	4/4	1	0							104
104	104	2	4/4	1	0							105
105	105	2	4/4	1	0					page		106
106	106	2	4/4	1	0							107
107	107	2	4/4	1	0							108
108	108	2	4/4	1	0							109
109	109	2	4/4	1	0					line		110
110	110	2	4/4	1	0							111
111	111	2	4/4	1	0							112
112	112	2	4/4	1	0							113
113	113	2	4/4	1	0					line		114
114	114	2	4/4	1	0							115
115	115	2	4/4	1	0							116
116	116	2	4/4	1	0							117
117	117	2	4/4	1	0					line		118
118	118	2	4/4	1	0							119
119	119	2	4/4	1	0							120
120	120	2	4/4	1	0							121
121	121	2	4/4	1	0					page		122
122	122	2	4/4	1	0							123
123	123	2	4/4	1	0							124
124	124	2	4/4	1	0							125
125	125	2	4/4	1	0					line		126
126	126	2	4/4	1	0							127
127	127	2	4/4	1	0							128
128	128	2	4/4	1	0							129
129	129	2	4/4	1	0					line		130
130	130	2	4/4	1	0							131
131	131	2	4/4	1	0							132
132	132	2	4/4	1	0							133
133	133	2	4/4	1	0							134
134	134	2	4/4	1	0					line		135
135	135	2	4/4	1	0							136
136	136	2	4/4	1	0							137
137	137	2	4/4	1	0							138
138	138	2	4/4	1	0							139
139	139	2	4/4	1	0				end		lastMeasure	-1
