mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	-3	4/4	1	0						firstMeasure	2
2	2	-3	4/4	1	0							3
3	3	-3	4/4	1	0							4
4	4	-3	4/4	1	0					line		5
5	5	-3	4/4	1	0							6
6	6	-3	4/4	1	0							7
7	7	-3	4/4	1	0							8
8	8	-3	4/4	1	0					line		9
9	9	-3	4/4	1	0							10
10	10	-3	4/4	1	0							11
11	11	-3	4/4	1	0							12
12	12	-3	4/4	1	0					page		13
13	13	-3	4/4	1	0							14
14	14	-3	4/4	1	0				double			15
15	15	0	4/4	1	0							16
16	16	0	4/4	1	0					line		17
17	17	0	4/4	1	0							18
18	18	0	4/4	1	0							19
19	19	0	4/4	1	0							20
20	20	0	4/4	1	0							21
21	21	0	4/4	1	0				double	line		22
22	22	-3	4/4	1	0							23
23	23	-3	4/4	1	0							24
24	24	-3	4/4	1	0							25
25	25	-3	4/4	1	0					line		26
26	26	-3	4/4	1	0							27
27	27	-3	4/4	1	0							28
28	28	-3	4/4	1	0				double	page		29
29	29	0	4/4	1	0							30
30	30	0	4/4	1	0							31
31	31	0	4/4	1	0							32
32	32	0	4/4	1	0					line		33
33	33	0	4/4	1	0							34
34	34	0	4/4	1	0							35
35	35	0	4/4	1	0							36
36	36	0	4/4	1	0					line		37
37	37	0	3/2	3/2	0							38
38	38	0	4/4	1	0							39
39	39	0	4/4	1	0							40
40	40	0	4/4	1	0				double	line		41
41	41	2	4/4	1	0							42
42	42	2	4/4	1	0					page		43
43	43	2	4/4	1	0							44
44	44	2	4/4	1	0							45
45	45	2	4/4	1	0							46
46	46	2	4/4	1	0					line		47
47	47	2	4/4	1	0							48
48	48	2	4/4	1	0				double			49
49	49	-2	4/4	1	0							50
50	50	-2	4/4	1	0					line		51
51	51	-2	4/4	1	0							52
52	52	-2	4/4	1	0							53
53	53	-2	4/4	1	0							54
54	54	-2	4/4	1	0					line		55
55	55	-2	4/4	1	0							56
56	56	-2	4/4	1	0							57
57	57	-2	4/4	1	0							58
58	58	-2	4/4	1	0					page		59
59	59	-2	4/4	1	0							60
60	60	-2	4/4	1	0				double			61
61	61	0	4/4	1	0					line		62
62	62	0	4/4	1	0							63
63	63	0	4/4	1	0							64
64	64	0	4/4	1	0							65
65	65	0	4/4	1	0					line		66
66	66	0	4/4	1	0							67
67	67	0	4/4	1	0							68
68	68	0	4/4	1	0							69
69	69	0	2/4	1/2	0				double	line		70
70	70	-3	4/4	1	0							71
71	71	-3	4/4	1	0							72
72	72	-3	4/4	1	0							73
73	73	-3	4/4	1	0							74
74	74	-3	4/4	1	0				end	section & page	lastMeasure	-1
