mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	4.0	-3	4/4	1	0					firstMeasure	2
2	2	4	4.0	-3	4/4	1	0						3
3	3	8	4.0	-3	4/4	1	0				line		4
4	4	12	4.0	-3	4/4	1	0						5
5	5	16	4.0	-3	4/4	1	0						6
6	6	20	4.0	-3	4/4	1	0						7
7	7	24	4.0	-3	4/4	1	0				line		8
8	8	28	6.0	-3	3/2	3/2	0						9
9	9	34	6.0	-3	3/2	3/2	0						10
10	10	40	4.0	-3	4/4	1	0						11
11	11	44	4.0	-3	4/4	1	0				page		12
12	12	48	4.0	-3	4/4	1	0						13
13	13	52	4.0	-3	4/4	1	0						14
14	14	56	4.0	-3	4/4	1	0						15
15	15	60	4.0	-3	4/4	1	0				line		16
16	16	64	6.0	-3	3/2	3/2	0						17
17	17	70	6.0	-3	3/2	3/2	0						18
18	18	76	6.0	-3	3/2	3/2	0				line		19
19	19	82	6.0	-3	3/2	3/2	0						20
20	20	88	6.0	-3	3/2	3/2	0						21
21	21	94	6.0	-3	3/2	3/2	0						22
22	22	100	6.0	-3	3/2	3/2	0				line		23
23	23	106	6.0	-3	3/2	3/2	0						24
24	24	112	6.0	-3	3/2	3/2	0						25
25	25	118	6.0	-3	3/2	3/2	0						26
26	26	124	6.0	-3	3/2	3/2	0				page		27
27	27	130	4.0	-3	4/4	1	0						28
28	28	134	4.0	-3	4/4	1	0						29
29	29	138	6.0	-3	3/2	3/2	0						30
30	30	144	6.0	-3	3/2	3/2	0				line		31
31	31	150	6.0	-3	3/2	3/2	0						32
32	32	156	6.0	-3	3/2	3/2	0			double			33
33	33	162	4.0	-3	4/4	1	0						34
34	34	166	4.0	-3	4/4	1	0				line		35
35	35	170	4.0	-3	4/4	1	0						36
36	36	174	4.0	-3	4/4	1	0						37
37	37	178	4.0	-3	4/4	1	0						38
38	38	182	4.0	-3	4/4	1	0						39
39	39	186	4.0	-3	4/4	1	0				line		40
40	40	190	6.0	-3	3/2	3/2	0						41
41	41	196	6.0	-3	3/2	3/2	0						42
42	42	202	4.0	-3	4/4	1	0						43
43	43	206	4.0	-3	4/4	1	0				page		44
44	44	210	4.0	-3	4/4	1	0						45
45	45	214	4.0	-3	4/4	1	0						46
46	46	218	4.0	-3	4/4	1	0				line		47
47	47	222	4.0	-3	4/4	1	0						48
48	48	226	6.0	-3	3/2	3/2	0						49
49	49	232	6.0	-3	3/2	3/2	0			double	line		50
50	50	238	6.0	-3	3/2	3/2	0						51
51	51	244	6.0	-3	3/2	3/2	0						52
52	52	250	6.0	-3	3/2	3/2	0						53
53	53	256	6.0	-3	3/2	3/2	0				line		54
54	54	262	6.0	-3	3/2	3/2	0						55
55	55	268	6.0	-3	3/2	3/2	0						56
56	56	274	6.0	-3	3/2	3/2	0						57
57	57	280	6.0	-3	3/2	3/2	0				page		58
58	58	286	4.0	-3	4/4	1	0						59
59	59	290	4.0	-3	4/4	1	0						60
60	60	294	6.0	-3	3/2	3/2	0				line		61
61	61	300	6.0	-3	3/2	3/2	0						62
62	62	306	6.0	-3	3/2	3/2	0						63
63	63	312	6.0	-3	3/2	3/2	0			double	line		64
64	64	318	6.0	-3	3/2	3/2	0						65
65	65	324	4.0	-3	4/4	1	0						66
66	66	328	4.0	-3	4/4	1	0				line		67
67	67	332	4.0	-3	4/4	1	0						68
68	68	336	4.0	-3	4/4	1	0						69
69	69	340	4.0	-3	4/4	1	0						70
70	70	344	4.0	-3	4/4	1	0			end	page	lastMeasure	-1
